behavior	reps
\N	710943328
1 of 2 with parent	2
1 of 2 young	4
1 of 4 being fed by adults	1
At plant	1
Canto en parte alta en rama seca	1
Cazando al vuelo	6
Cluster of Drones nr. exit hole of virgin queen	2
Consumiendo frutos de Hamelia patens y Cinnamomun triplinerve	1
Courting - aerial	1
Ejemplar enterrado en suelo húmedo al lado del caño	2
En las rocas de la desembocadura del Urumea.	1
FM Sweeps	1
In copula C	2
In copula with 44052	1
Libando en estrato bajo	3
On lowers of "goatweed"	1
Palo seco	1
Perchado en árbol seco	2
Perchados en arboles cercanos	3
Reposo	946
Rubus procerus	1
Siguiendo al ganado	2
Singing "che-bee"	1
Sleeping in flowers	1
Third male shot from this tree while singing nigricollis song.	1
Vuelo suspendido, Canto	1
advertise; Social context: troop	2
advertise; call; chirps	1
advertise; flight song; mechanical sound	1
arrive; depart; fly; sit on nest	3
basking on logs and trees in burned pinewoods	3
be displaced; walk	2
birds did not call or come near, female off nest when found	2
call; arrive; fly	11
call; bill swipes; perform courtship display	2
call; care for young; establish flock contact	1
call; depart; arrive; advertise; fly; establish flock contact	1
call; depart; arrive; mate; establish flock contact	1
call; establish parent young contact; care for young; forage	1
call; flush; mate; emit alarm	2
call; fly; Social context: flock	12
call; fly; mate; forage; establish flock contact; Social context: mixed	1
call; forage; emit alarm; perform visual display	3
call; forage; scold; establish flock contact	3
call; mate; emit alarm; Social context: troop	1
call; mate; forage; establish flock contact	7
call; mechanical sound; Reproduction; advertise	1
call; mechanical sound; song; advertise; mate; establish parent young contact; forage	1
call; mechanical sound; song; advertise; scold; Social context: troop	1
call; mechanical sound; song; lek	1
call; perch; pant; Social context: colony	1
call; perform courtship display; bill swipes	2
call; scold; Social context: troop; establish flock contact	1
call; scold; fly; emit alarm; Social context: family	1
call; scold; whisper; Social context: family	1
call; song; advertise; scold	60
call; song; dawn song; advertise	161
call; song; forage; Social context: family; Social context: mixed	1
call; walk; sit on nest; incubate	1
carry food in bill; take flight; care for young	1
carrying straw	1
cast pellet; preen	1
counter singing; call; advertise	3
deep in forest and calling at 1130 hrs	2
depart; advertise; mechanical sound; perch	1
depart; take flight	1
emit alarm; call; duet	1
en cultivo de caña y cafetal	1
en un árbol de mango	1
flap; forage; stand; call	1
flew to & was courted by male V. funerea.	1
flight song; song; forage; fly	1
flightless?	2
flush of adults	1
flush; fly; land; run	1
fly; advertise; contact; dawn song; flight song; song	4
fly; depart	4
fly; flock; perch	1
fly; forage; Stand/Perch	1
flycatch; preen; song; perch	1
flying 0.5 mi to shore	4
forage; swim; take flight; preen	1
forage; walk; take flight; fly	1
forage; yawn	1
from a flock of 94 on a ploughed field	1
from a flock of Dendroica coronata auduboni	1
from a group of 3	5
in nest with 3 young Veerys and 1 other Cowbird	2
jump; allopreen; preen; stretch	1
land; enter nest cavity	1
mechanical sound; arrive	2
mechanical sound; counter singing	4
mechanical sound; song; advertise; scold	2
nuzzle	7
on Astragalus	1
on flowers of Collinsonia canadensis	4
on flowers of Epilobium	1
on flowers of Iris missouriensis	64
on flowers of Monarda fiatulosa	2
on flowers of taraxacum	7
only 2 together	1
peck; wing flaps; fly; call	1
perch; call; hop; arrive; depart	1
perch; call; jump	1
perch; eat; wipe bill	1
perch; song; defecate; take flight	1
perform distraction display; walk; brood	1
perform visual display; fly; perch; copulate	1
perform visual display; song; perch	8
preen; forage; walk; stand	3
preen; perch; depart; bill swipes; call	1
run; call	2
sally; fly; preen	1
set of 13 eggs collected by W P Young	1
singing western song	1
sit on nest; fight	1
sobre el rio	1
song; court; advertise; whisper	2
song; dawn song; duet; mate; advertise	3
song; forage; perform visual display	1
stretch; swim; defecate; surface dive	1
suelo, junto a caballos	1
swim; preen; Social context: flock; call	1
swim; preen; ruffle; walk	1
swim; run	3
swim; walk; brood; hatch; incubate; sit on nest	1
take flight; cling; be displaced	1
take flight; forage; walk	2
take flight; land; stand; fly	1
take flight; stand; hop	1
taken at baited trees	1
taken with one egg and downy young	1
visiting flowers of Kalmia polifolia	9
walk; hop; call	1
walk; perform courtship display; run	1
walk; preen; ruffle; yawn; stand	1
