disposition,reps
,72430786
-,1
#1341,8
[ANSP] Pinned,1
_: Jrdan Wagn,1
0,19217
0 Freez,10
0% ethanl,1
0_0 J. C. Ckendlph,62
04-Sep-06, SJNM,1
060-1053Cokendolpher21Ap2016,24
0633,1
0C,3
0C freez,1
0Xyl,1
1,4375
10,38
100,11
1000,4
11,7
111PWRC,1
11-W-25,15
12,15
12/W-ExE-8,83
12/W-Ly-3,1
13,7
14,14
140,1
15,10
150,1
1500,1
155,4
16,6
161,1
169,1
17,6
176,1
18,5
180,1
19,3
196,1
2,321
20,20
200,4
2004 Smith Foray Workshop,6
2005 Smith Foray Workshop,1
2016-03-14_Cokendolpher,331
2016-03-17_Cokendolpher,10
205,1
21,3
22,8
23450,1
244,1
25,10
26,3
26-Aug-06,1
27,1
28,3
29,1
3,197
3 total,1
3/CL-1,97
30,10
300,2
-301C.Gross12.16.2015,107
319,1
33,1
333,1
36,1
37,3
382346,1
4,108
40,3
41,1
42,1
44,1
-440C.Gross12.16.2015,3
45,3
46,1
49,1
5,121
50,12
500,1
55,2
56,1
6,68
60,1
64,1
650,1
-652C.Gross12.16.2015,17
66,1
67,1
6745 was assigned to the Accompa,1
68,2
69,1
7,47
76,1
8,33
8/Le-130,1
800,1
84,1
87,1
9,19
9/LE-239,1
9/LE-251,1
A.A. Bitancourt 261,1
A.H. Smith 62790,1
A.J. Sharp WCD 4628,1
A.W. Slipp 1305-Sta. 1,1
abdomen in glassine envelope pin,1
absent,290
abundant,2
ACS,1
Additional Information, see Other Information,408
Additional Information, see Other Information In collection,1740
Additional Information, see Other Information In collection Missing parts, see Availability Remarks,15
Additional Information, see Other Information In collection Missing parts, see Availability Remarks Missing parts, see Inventory Remarks,1
Additional Information, see Other Information In collection Missing parts, see Inventory Remarks,1
Additional Information, see Other Information Missing parts, see Availability Remarks In collection,9
Additional Information, see Other Information Missing parts, see Availability Remarks Missing parts, see Inventory Remarks,2
Additional Information, see Other Information Missing parts, see Inventory Remarks,2
Additional Information, see Other Information On exhibit,1
Additional Information, see Other Information On exhibit On loan, see Loan Database,1
Additional Information, see Other Information On loan, see Loan Database,1
ALA, CS, DAV, MEXU, NMC, NY, OSC,1
ALA, CS, MEXU, NMC, NY, OSC, UTE,1
ALA, DES, ARIZ, ASC,1
ALA, NY, OSC, UCR, UTEP,2
ALA, NY, OSC, UTEP,2
Alberta,334
also A.H. Smith 68712,1
also G. Haglund 5878,1
also G.D. Darker 6165,1
also J. Toohey 37,1
also J.R. Weir and/or A.S. Rhoad,1
also may be Boston Mycological C,1
also R. Singer F712,1
also T. Nathorst-Windahl 1454,1
also W.A. Murrill 13 Feb 1944,1
ALTA, ARIZ, CS, DES, NMC, UTEP,1
ALTA, BRIT, CS, CTES, DES, MSC,,1
ALTA, CANB, CTES, HUEFS, MBM, OS,1
ALTA, NO, UNM,1
ALTA, UTEP,1
AMNH,8
ANCS 26172,1
ANCS 26173,1
ANCS 26174,2
Anplgnathus daemeli,1
ANSM, ASC, CANB, ENCB, MEXU, MSC,1
ANSM, ASC, CTES, ENCB, MBM, RSA,,1
ANSM, BRY, CANB, CTES, DAV, ENCB,1
ANSM, BRY, CANB, CTES, HUEFS, MB,1
ANSM, BRY, CANB, DAV, OSC, UCR,,1
ANSM, BRY, CANB, MEXU, NY, OSC,,1
ANSM, BRY, CANB, NY, OSC, UTEP,1
ANSM, CANB, CS, CTES, HUEFS, MBM,1
ANSM, CANB, CTES, HUEFS, MBM, ME,1
ANSM, CAS, CS, DAV, NMC, NY, UTE,1
ANSM, CTES, MBM, UTEP,2
ANSM, MBM, UTEP,4
ANSM, UTEP,2
ANSP,1937
archived,7568
Archived/Towson,19
ARIZ,5
ARIZ, ASC, ASU, DES,1
ARIZ, ASC, BRIT, BRY, DES, F, GH,1
ARIZ, ASC, BRIT, BRY, DES, NY, U,1
ARIZ, ASC, BRY, CAS, CS, DES, EN,1
ARIZ, ASC, BRY, CTES, ENCB, MBM,,1
ARIZ, ASC, BRY, DES, MSC, NMC, O,1
ARIZ, ASC, DES, GRCA,1
ARIZ, ASC, DES, ID, NA, NY, SD,,1
