"establishmentMeans","reps"
"collected between 0800-1200 hrs",1
"collected between 09:00-1130 hrs",1
"collected between 0900-1200 hrs",1
"collected between 1030-2150 hrs",1
"collected between 1100-1400 hrs",2
"collected between 1300-1600 hrs",1
"collected between 1615-1645 hrs",1
"collected between 1630-1830 hrs",1
"collected between 1630-18-30 hrs",1
"collected between 1830-1900 hrs",1
"collected between 1830-1930 hrs",1
"collected between 1930-1830 hrs",1
"collected ca 0600 hrs",1
"collected ca 0615 hrs",1
"collected ca 0630 hrs",1
"collected ca 0730 hrs",1
"collected ca 1100 hrs",1
"collected ca 1140 hrs",1
"collected ca 1500 hrs",2
"collected ca 1550 hrs",2
"collected in am",32
"collected in early pm",1
"collected in late am or pm",1
"collected in pm, fledged Aug, 1971",1
"collected in the late am and pm",1
"collected live from egg on July 8 1967",1
"collected live on July 8 1967 when 1 day old, died in captivity",1
"collected near midday",1
"collected over water 23 fathoms",1
"collected over water 24 fathoms",1
"collected over water 30 fathoms",1
"collected over water 41 fathoms",1
"collected over water 45 fathoms",3
"collected over water 46 fathoms",1
"collected with thrown stone",1
"collision",2
"colony nesting",2
"confiscated",19
"cultivated",9957
"Cultivated exotic",1
"Cultivated(probably)",1
"Cultivated.",89
"Cultivated. Origin known.",45
"Cultivated. Origin not known.",36
"Cultivation",11
"Cultured in aquarium",2
"Cultured in water",1
"Cutlivated native plants",1
"d",1
"dead in nest",3
"dead in net",29
"dead on road",1
"died after eating poisoned carrion",1
"died from disease",1
"died from obstruction in stomach, food had backed up in esophagus to skull",1
"died in captivity",1
"died in fish net",1
"died in group epidemic",1
"died in hand after removal from line trap",1
"died in nest after 40 minutes of heavy rain, with female RCL 2339",1
"died in net",1
"died of enteritis",1
"died of exhaustion",1
"died of exposure",1
"died of exposure in cold snap",4
"difficulty flying",1
"dog kill",6
"dog kill or shot",1
"dog kill?",2
"domesticated",1
"DOR=dead on road, road kill?",2
"DOR=dead on road?",1
"drowned",8
"drowned in can of water",1
"drowned in fish net",4
"drowned in fish nets",29
"drowned in gill net",1
"drowned in net",23
"drowned in nets, one of 15000 drowned",1
"drowned in pool",1
"drowned?",1
"e",1
"eagle kill",4
"electrocuted",1
"Endemic",2
"escape",8
"escape cultivation",2
"escaped",2
"Escaped Cultivation",1
"Escaped ornamental",1
"escapee? From captivity",1
"established",1
"established - noxious",3
"establishmentMeans",1
"euthanized",3
"euthanized, captive",1
"excavated at Armant, Published in 'Temples of Armant',",1
"excavated at Fort Albany, date of English occupation 1679-1721",35
"excavated from 2 ft below surface at Woodlands Indian Site, 1955 April 03",1
