"taxonRank","reps"
"",62351430
"species",5953037
"subspecies",2103102
"Species",1483121
"genus",595397
"specie",520062
"variety",426217
"var.",332636
"specificEpithet",204232
"family",202351
"esp��cie",190306
"Subspecies",186027
"subsp.",123394
"SPECIES",104230
"class",86783
"Genus",76816
"GENUS",67473
"order",58298
"Class",57762
"PHYLUM",56416
"Order",56318
"Esp��cie",53683
"Variety",42366
"Family",36109
"ssp.",32544
"Kingdom",27597
"Phylum",23055
"subesp��cie",11626
"Varietas",11346
"forma",10920
"f.",8852
"Suborder",8584
"infraspecificEpithet",6955
"Superfamily",6513
"phylum",6108
"undetermined",4364
"Subclass",3775
"Subphylum",3336
"division",2638
"SUBSPECIES",2534
"Infraorder",2065
"subfamily",1949
"G��nero",1872
"FAMILY",1767
"kingdom",1525
"hybrid sp",1400
"subclass",1266
"Form",1227
"Superorder",1043
"Genus or Species",991
"Subfamily",910
"form",858
"suborder",842
"nothospecies",795
"Graptoloidea",693
"Fam��lia",518
"Superclass",434
"Euomphalina",384
"cultivar",367
"Forma",347
"Perissodactyla",327
"Aberration",326
"form.",320
"Subdivision",274
"hybrid ssp",271
"CLASS",269
"Genero",238
"Division",232
"Subgenus",232
"Condylarthra",210
"Passeriformes",207
"Anura",182
"Artiodactyla",182
"Gorgonacea",181
"unnamed",180
"Ampelisca",167
"Squamata",164
"subsp",159
"x",158
"Infr.",154
"varietas",153
"Lepidoptera",141
"Caudata",130
"VARIETY",129
"subvariety",123
"Cypriniformes",108
"Cimolesta",101
"Asterales",100
"Perciformes",100
"superfamily",100
"infraorder",96
"Primates",91
"Ordem",84
"ORDER",78
"Charadriiformes",77
"var",75
"X",74
"subphylum",70
"Carnivora",69
"Cyclaspis",65
"Race",63
"Dendroidea",62
"Amphipoda",61
"Fabales",61
"Orthida",59
"hypotype",58
"Cultivar",53
"matrix",50
"Spiriferida",50
"Rhynchonellida",48
"Anseriformes",47
"Pterosauria",46
"Salmoniformes",45
"subkingdom",44
"Atrypida",40
"Ophiurida",39
"Ptychopariida",39
"Characiformes",38
"morpha",37
"Rodentia",37
"fma.",36
"Lamiales",36
"Caryophyllales",34
"Crocodylia",34
"Scleractinia",34
"Phrynophiurida",31
"ssp",31
"Stromatoporoidea",30
"Strophomenida",30
"Malpighiales",29
"Morphotype",28
"Onychodontiformes",28
"Lingulida",27
"Veneroida",27
"agg.",26
"Praecardioida",26
"Solanales",26
"Productida",25
"unknown",25
"Galliformes",24
"��",24
"Creodonta",23
"Pterioida",23
"subgenus",23
"Poales",22
"||||",21
"Antipatharia",21
"Clade",21
"Esociformes",20
"Thoracica",20
"tribe",20
"Classe",19
"Decapoda",19
"Gentianales",19
"Scorpaeniformes",19
"Cete",17
"Phyllodocida",17
"Testudines",17
"fm.",16
"Isopoda",16
"Archaeocopida",15
"Bonnierella",14
"subforma",14
"Anguilliformes",13
"ferruginea",13
"Pseudericthonius",13
"Siluriformes",13
"Tribe",13
"|||||||||||||||||||||||||||||||||||||",12
"Brassicales",12
"Gadiformes",12
"hybrid",12
"Tribo",12
"Actiniaria",11
"ANIMALIA",11
"Cyprinodontiformes",11
"Ericales",11
"Malvales",11
"Pentamerida",11
"race",11
"Rosales",11
