"continent","reps"
"HAB13-FOZ29-R2(0-10)",1
"HAB13-FOZ29-R3(0-10)",1
"HAB13-FOZ30-R1-0-10",1
"HAB13-FOZ30-R3(0-10)",1
"HAB13-FOZ31-R1(0-10)",1
"HAB13-FOZ31-R2(0-10)",1
"HAB13-FOZ34-R1(0-10)",1
"HAB13-FOZ34-R2(0-10)",1
"HAB13-FOZ34-R3(0-10 )exemplares mto ressecados",1
"HAB13-FOZ41-R1(0-10)",1
"HAB13-FOZ41-R3(0-10)",1
"HAB13-FOZ43-R1(0-10)",1
"HAB13-H01-R1(0-10)",1
"HAB13-H01-R2(0-10)",1
"HAB13-H01-R3(0-10)",1
"HAB13-H02-R1(0-10)",1
"HAB13 #H02 R2",1
"HAB13-H02-R3(0-10)",1
"HAB13 #H03 R1",1
"HAB13-H03-R1(0-10)",1
"HAB13 # H03 R3",1
"HAB13-H03-R3(0-10)",1
"HAB13-H04-R1(0-10)",1
"HAB13 #H04 R3",1
"HAB13-H05-R2(0-10)",1
"HAB13-H05-R3(0-10)",1
"HAB13-I01-R1(0-10)",1
"HAB13 #I02 R1",1
"HAB13-I02-R1(0-10)",1
"HAB13 #I02 R3",1
"HAB13-I02-R3(0-10)",1
"HAB13 #I04 R1",1
"HAB13 #I04 R2",1
"HAB13-I04-R2(0-10)",1
"HAB13-I05-R2(0-10)",1
"HAB13-I05-R3(0-10)",1
"HAB13 #RPS03 R1",1
"HAB13 #RPS03 R2",1
"HAB13 #RPS03 R3",1
"HAB13 #RPS06 R1",1
"HAB13 #RPS08 R3",1
"HAB13 #RPS14 R1",1
"HAB13 # RPS16 R1",1
"HAB13 #RPS16 R2",1
"HAB13 #RPS19 R3",1
"HAB 13 -#RPS 23 R2",1
"HAB13 #RPS23 R2",1
"HAB13 #RPS 29 R2",1
"HAB13 #RPS29 R2",1
"HAB13 #RPS43 R1",1
"HAB13 # RPS43 R2",1
"HAB16-C04-R3",1
"HAB16-E04-R2",1
"HAB16-E05-R2",1
"HAB16-F03-R3",1
"HAB16-F04-R3",1
"HAB16-G04-R3",1
"HAB16-H04-R2",1
"HAB17-A02-R1",1
"HAB17-A02-R2",1
"HAB17-B02-R2",1
"HAB17-B02-R3",1
"HAB17-FOZ02-R1",1
"HAB17-FOZ02-R2",1
"HAB17-FOZ03-R1",1
"HAB17-FOZ05-R1",1
"HAB17-FOZ14-R2",1
"HAB17-FOZ17-R1",1
"HAB17-FOZ18-R2",1
"HAB17-FOZ18-R3",1
"HAB17-FOZ19-R2",1
"HAB17-FOZ25-R3",1
"HAB17-FOZ30-R2",1
"HAB17-FOZ33-R2",1
"HAB17-FOZ43-R1",1
"HAB17-I02-R2",1
"HAB17-I04-R1",1
"HAB3-G8-R3(2-5)",1
"HAB3-H8-R2(0-2)",1
"HAB4-CANG7-R1(0-2)",1
"HAB4-CANG7-R1(2-5)",1
"HAB6-CANAC6-R2(0-2)",1
"HAB6-CANAC6-R3-0-2",1
"HAB6-CANAC6-R3(5-10)",1
"HAB6-CANAC7-R1(2-5)",1
"HAB6-CANAC7-R2(5-10)",1
"HAB6-CANAC7-R3(2-5)",1
"HAB6-CANAC8-R1(0-2)",1
"HAB7-A6-R3(0-2)",1
"Hautern",1
"HolA��tipo. Material dissecado.",1
"HRCB",1
"HUCS",1
"Huraine",1
"��frica do Norte",1
"��merica Central",1
"��sia Oriental",1
"Inicialmente chamada de P. subtropicalis e depois antes da publicaA��A��o pasoou a ser chamada de P. bousfieldi",1
"insigne",1
"Iryanthera",1
"Isosyntype",1
"Kenya",1
"Laccadive Sea",1
"lA��minas do macho  01macho e 01femea",1
"Lanfen",1
"MAC",1
"maloch les Kidelberg",1
"Material emprestado K. Christol",1
"material emprestado p Katia Christol",1
"Mediterranian Sea",1
"montevidense",1
"multiflora",1
"New Zealand",1
"north america",1
"north America",1
"North america",1
"North America; South America",1
"North Carolina",1
"Noth America",1
"ok��nt",1
"OLD WORLD",1
"Orthosia arenosa Decne.",1
"Oxypetalum sublanatum Malme",1
"Pacific Ocean?",1
"Pet Trade",1
"pilosum",1
"Poaceae DB Copy 1.5_2014-6-9_13:50",1
"probably Africa",1
"Prof, 107m.",1
"Prof: 142m.",1
"Prof: 53m.",1
"purpurascens",1
"quadrifolia",1
"Reserva Florestal Ducke, Manaus - Itacoatira, km 26.Por����o Nordeste da Reserva, vale do Iarap�� do Tinga.",1
"Ross Sea",1
"?Santa Cruz Ids.",1
"South Americ",1
"south america",1
"South America : Caribbean",1
"South America - Neotropicos",1
"South America-Neotropics",1
"sowev",1
"sp. 1  80m?",1
"sp.2. (Material nao devolvido)",1
"SPFR",1
"Syria",1
"Telemark",1
"Trinidad and Tobago",1
"Tweedia",1
"Tyrrhenian Sea",1
"Unspecified",1
"West Indies?",1
"West Indies*",1
"West indies - Neotropics",1
"West Indies - Neotropics(?)",1
