"lifeStage","reps"
"",66754065
"adult",3550613
"Adult",2067648
"unknown",272180
"adult/juvenile",235021
"A",199004
"Flowering",182091
"Adult, sex unknown",152869
"larva",151975
"juvenile",119583
"Adult/juvenile",94514
"adult unsexed",94182
"immature",69673
"U-Ad.",62731
"Adulto",59606
"Juvenile",56491
"--",55168
"ad",54547
"Fruiting",54535
"fresh",36890
"Flowering and Fruiting",36523
"adult female - worker",36341
"egg",34012
"Immature",33988
"Fresh",33609
"adult male",32894
"Pullus",30138
"not applicable",28544
"Not recorded",25538
"t��tard",24760
"Vegetative",22909
"Ad",22695
"Juv",22694
"U",22554
"adult female",21729
"flower",20995
"Unknown",20684
"Adult or juvenile",20259
"1 juvenile",15422
"Fertile",14589
"Ind��termin��",14561
"2 adult",13765
"nymph",13122
"subadult",11807
"not recorded",11692
"imm",11543
"Larva",11444
"larvae",11221
"2K+",10872
"larva/juvenile",9666
"J/A",9519
"Adulte",8865
"juv��nile",8215
"slight",7672
"Ad.",7545
"In bud",7460
"I",7173
"Larvae",7129
"fruit ripe",6986
"sterile",6964
"not determined",6936
"juv",6908
"2 juveniles",6195
"yolk sac",6036
"Slight",5985
"begun",5849
"3 adult",5741
"adulte",5636
"3K+",5111
"Subadult",4881
"Begun",4789
"deutonymph",4632
"paratype",4452
"Adult or Juvenile",4349
"embryo",4294
"ovigerous",4154
"U-Ad",3994
"3 juveniles",3983
"adult worker",3918
"advanced",3840
"1F",3787
"2K",3777
"chick",3677
"Flowering and fruiting",3519
"fruit unripe",3474
"4 adult",3384
"started",3368
"Chick",3328
"Juv.",3251
"1 exuvia",3226
"1",3101
"juvenile; juvenile",2904
"Advanced",2871
"n/a",2842
"1 pupa",2839
"undetermined",2717
"4 juveniles",2713
"Started",2685
"; juvenile",2625
"adult; adult",2610
"1M",2592
"5 adult",2564
";; juvenile",2547
"hatch-year",2530
"X",2507
"juvenile(s)",2480
"1K",2466
"FALSE",2384
"nestling",2323
"snco",2317
"; ovigerous",2271
"Hatchling",2250
"in bud",2221
"Imm.",2214
"adult female - alate queen",2210
"commenced",2168
"nymph unsexed",2151
"Embryo",2090
"natal",2090
"5 juveniles",2083
"Immature fruit",2055
"II",2053
"M",2042
"2 unknown",1970
"II;;",1965
"imago",1898
"Juveniles",1880
"young",1825
"downy",1823
"6 adult",1815
"Tadpoles",1781
"L",1753
"Not recorded.",1748
"Commenced",1728
"ADULT",1722
"larva(e)",1700
"fl.",1699
"Nymph",1693
"Adult; Wings Alate",1664
"Adult; Immature",1623
"adult, juvenile",1604
"flower, fruit ripe",1581
"Adult; Wings Apterous",1579
";; ovigerous",1569
"young of year",1565
"Young",1559
"Gosner 42: tadpole w/forelimbs emerged",1545
"6 juveniles",1542
"U-Imm.",1509
"Adults",1487
"7 adult",1473
"adult (queen)",1470
"Female flowers",1423
"protonymph",1411
"sy",1403
"I;;",1394
"I; II;;",1391
"4 egg",1380
"U-Juv.",1377
"gam",1361
"spor",1324
"sco",1309
"Sterile",1308
"adult female - dealate queen",1304
"adult queen",1255
"Juv��nile",1240
"3 egg",1227
"Mature fruit",1217
"non-reproductive",1204
"Gosner 25-27: tadpole w/no legs",1155
"7 juveniles",1147
"Metamorph",1095
"hy",1089
"Larval",1082
"8 adult",1078
"3 unknown",1063
"Nestling",1047
"age by plumage",1041
"small embryos",1021
"8 juveniles",1013
"not indicated",1005
"Adult/Brood",1000
"Infertile",996
"Eggs",986
"1 form II females",971
"Pupa",958
"flower, fruit unripe",950
"10 juveniles",948
"unk",945
"Egg",921
"1 form I males",920
"Neonate",920
"2 egg",893
"Girino",892
"FEMALE 1, MALE 1",891
"hatchling",861
"Adult; Adult",854
"9 adult",835
"Ind",833
"Unspecified",831
"trace",827
"II; juvenile;; juvenile",826
"1 form II males",824
"showing blood",824
"10 adult",823
"meta-young",819
"nestl",785
"Not Recorded",780
"fledgling",776
"juvenile; larva",767
"well begun",761
"adults",738
"9 juveniles",711
"TADPOLE",707
"Gosner 43: early anuran metamorph",703
"11 adult",702
"1/3",702
"pupa",702
"Fetus",695
"just begun",691
"I; II; juvenile;; juvenile",685
"1K+",678
"2F",678
"Larva(e)",677
"Tadpole",677
"large embryos",676
"5 egg",670
"Gosner 46: anuran metamorph",663
"stage and sex unknown",647
"after hatch year",646
"nymphs",646
"1/2",643
"4 unknown",625
"Flower",625
"2 exuvia",617
"In flower",617
"im.",615
"Gosner 44: anuran metamorph",597
"TRANSFORMING",596
"Trace",591
"neonate",587
"larve",584
"began",580
"Downy",575
"Small embryos",574
"embryon",573
"exuviae",572
"12 juveniles",566
"flowering",563
"1 adult",561
"over-winter",559
"1/4",544
"II;; juvenile",540
