"geodeticDatum","reps"
"",63217471
"WGS84",5384992
"not recorded (forced WGS84)",1618305
"NAD27",1283116
"unknown",817713
"World Geodetic System 1984",652152
"North American Datum 1927",584221
"NAD83",544002
"WGS 84",431168
"desconhecido",251702
"WGS1984",159611
"NAD 27",103574
"SAD69",92992
"North American Datum 1983",53872
"AGD66",49796
"not recorded",36226
"WGS84/NAD83",31231
"PRP_M",28056
"NAD 83",27227
"AGD 66",18783
"GEO-SIRGAS2000_EGM-96",18500
"Unknown",10582
"Nad83",10574
"NAD 1927",9870
"Japanese Geodetic Datum 2000",9840
"Ocotepeque 1935",8653
"WGS 1984",8442
"GDA94",8390
"Fundamental de Ocotepeque",7467
"W",7425
"RSA:2009",7210
"NAD83/WGS84",6706
"1927",5200
"null",4190
"Not recorded",3066
"Provisional South American 1956",3033
"World Geodetic System 1972",2855
"Nad 83",2645
"Bogota Observatory",2057
"Terrain Navigator Pro",1986
"3",1942
"Australian Geodetic 1966",1858
"Terrain Navigator 1:24,000",1696
"GPS",1622
"NAD84",1556
"Hu-Tzu-Shan",1442
"NAD1983",1282
"visual plot on Google Map Satellite image by JCC",1045
"Australian Geodetic 1984",1019
"WGS-1984",974
"UTM NAD27, NAD83 Decimal Degrees",910
"South American Datum 1969",899
"UTMG NAD27, Decimal Degrees NAD83",896
"Not Recorded",823
"WGs84",802
"NAD27 CONUS",796
"7",779
"WSG84",762
"New (1960) Arc",739
"WGS84  (UTM Datum: NAD83)",706
"WGS",654
"Geodetic Datum of Australia 1994",647
"NAD 83/84",562
"World Geodetic System 1966",561
"unk",481
"Clarke 1858",468
"Guam 1963",459
"Kenya Colony",405
"Kusaie Astro 1951",373
"12",371
"USD 83",364
"WGS86",361
"WGS94",359
"WGS34",358
"WGS84/NAD27",332
"Not Georef",329
"#N/D",320
"WGS-84",319
"Amersfoort",317
"WGS72",288
"wgs84",271
"WGS 1984 (WGS 84)",270
"29966",249
"Corrego Alegre",245
"Google Earth",245
"Arc 1960",229
"WGS83",226
"WGS 83",220
"European 1950",211
"UTM Zone 16",209
"Djakarta (Batavia)",208
"[Redacted]",202
"NAD1927",179
"NULL",178
"WSG84/NAD83",176
"wGS84",172
"Luzon Philippine",159
"WGS84 datum",157
"Luzon",156
"Terrain Navigator",153
"GUX 1 Astro",141
"NAD 1983",140
"Indian 1960",139
"-100.454523",133
"Australian Geodetic Datum 1966",122
"NAD 27 CONUS",121
"NAD 27, map estimate",120
"ED50",114
"WGS 84  (UTM Datum: NAD83)",107
"NAD27, CONUS",106
"Terrain Navigator 5.03 1:24000",105
"Schwarzeck",103
"WGS 1984.",103
"WGS8444.126448",101
"GST 84",100
"EPSG:4326",99
"NAD 84",97
"27",93
"Reunion",90
"1313",88
"SD:2009",86
"WGS8",78
"Ordnance Survey of Great Britain 1936",77
"Lemuta",74
"WGS84/NAD8",74
"-59.164167",71
"Guam Datum",70
"New (1950) Arc",70
"GS84",69
"8000",68
"ID 1974",67
"-100.596165",65
"NAD83 GPS",64
"WGS80",61
"GEOLocate",56
"nad 83",56
"11595",55
"WGS 163",54
"DecimalDegrees",52
"Ireland 1965",52
"`",51
"UTM Zone 17",50
"-100.49744",49
"Kertau 1948",49
"Geocentric Datum of Australia 1994",48
"18 43' 46.6 N 109 52' 34.2 E",47
"-100.46335",46
"American Samoa 1962",43
"Indian 1975",43
"Provisional La Conoa 1956 (Venezuela)",42
"-58.7",41
"WGS85",37
"NAD27 UTM, NAD83 Decimal Degrees",36
"Marathon",35
"WGS 80",35
"201",34
"Tokyo Datum",33
"UTM NAD 83",33
"WGS84  (UTM Datum: NAD 27 CONUS)",33
"1510",32
"IPB.00227.A",32
"l",32
"Nad 27",32
"1859",31
"NAD28",31
"POS",31
"-100.71667",30
"366",30
"NAD - 1927",30
"NAD27  (UTM Datum: NAD 27 CONUS)",30
"-100.476088",29
"NAD83/84",29
"-100.68737",28
"w",28
"UNKNOWN",27
"Viti Levu 1916",27
"1981",26
"Map datum unk",26
"WGS 159",26
"WGS 72",26
"WGS94/NAD83",26
"NAD83&WGS84",25
"-102.23988",24
