island,reps
,19633641
New Guinea,71898
Hispaniola,39167
Borneo,23684
Oahu,21217
Bougainville Island,20490
Madagascar,19257
Cuba,15971
Bermuda,14596
Luzon,13082
Puerto Rico,12127
Java,10621
Saint Lawrence Island,10154
Sumatra,9772
Trinidad,9653
New Guinea Id.,9086
Negros Id.,9052
Luzon Island,8634
Luzon I.,8589
Jamaica,7991
Sulawesi,7695
Long Island,7366
Mindanao Island,6768
Honshu,5531
Mindanao Id.,3888
Kapingamarangi Atoll,3879
Vancouver Island,3861
Tobago,3753
Hawaii,3693
Samar Island,3604
Mindanao,3602
Mindoro,3595
Negros,3529
Santa Cruz Island,3527
Guam,3411
Maui,3401
Viti Levu I.,3280
Mindanao I.,3272
Vancouver,3118
Taiwan Id.,3105
Prince of Wales Island,2944
Enewetak Atoll,2936
Little Diomede Island,2929
Taiwan,2791
Celebes,2679
Molokai,2656
Ifalik Atoll,2629
New Caledonia Id.,2605
Palawan,2518
madagascar,2482
Sarichef Island,2471
Guadalcanal Island,2447
Dominica,2440
Chichagof Island,2437
Luzon Id.,2429
Bohol Id.,2428
Barbados,2424
Singapore,2419
Negros Island,2418
Bikini Atoll,2399
Curacao,2388
Guadalupe,2312
Mindoro Island,2269
Brooks Island,2238
Greenland,2236
Bougainville Id.,2227
Yap I.,2215
Mauritius,2200
Panay,2092
Kauai,2036
Solomon Islands,2034
Honshu Id.,1985
Carrie Bow Cay,1949
Saint Croix,1946
Tahiti,1906
Lord Howe,1883
New Britain,1817
Leyte Island,1803
Palawan Island,1781
Aldabra Atoll,1714
Palawan Id.,1712
Saint Vincent,1692
Hokkaido,1692
Babelthuap I.,1494
Pohnpei Island,1490
Palawan I.,1471
Mindoro Id.,1459
Raroia Atoll,1438
Moorea,1417
Laysan,1410
Norfolk,1402
Vanua Levu I.,1381
Amami-O-Shima Id.,1348
New Providence,1348
nouvelle-calédonie,1332
Ambon,1317
Helen Reef,1314
Wrangell Island,1296
Saint Thomas,1294
Guadalcanal,1268
Réunion,1239
Baranof Island,1237
Tuamotu Ids,1209
Viti Levu,1198
One Tree Island,1195
Cebu Id.,1173
Grand Cayman,1173
Koror I.,1173
Revillagigedo Island,1154
North Island,1150
Sardinia,1143
Wallis Island,1140
Bohol Island,1125
Okinawa Id.,1103
moorea,1101
Tasmania,1091
Diego Garcia Atoll,1088
Kodiak Island,1088
Bonaire,1079
Upolu,1076
Mitkof Island,1069
Saint Croix Island,1067
Madagascar Id.,1064
Cyprus,1045
Admiralty Island,1034
Westham,1030
Isla del Coco,1025
Dinagat I.,1024
Sao Tome Id.,1023
Koror Id.,1022
Bali,983
Negros I.,957
Tutuila,952
Mindoro I.,947
Cozumel,943
British West Indies,936
Sri Lanka,934
Ouvea Atoll,931
Macquarie,927
Saint Lawrence,919
Saint Lucia,910
Cerralvo Id.,907
Saba,901
Grizzly Island,896
Navassa Island,892
Santa Cruz,889
Japan,871
Sulawesi Island,866
Rongelap Atoll,845
Palmyra Atoll,840
Christmas,839
Honshu I.,838
Ishigaki Shima Id.,835
South Island,829
Newfoundland,825
St. John Island,816
Auluptagel I.,812
Espiritu Santo,812
Lubang Island,799
Sibuyan I.,798
Halmahera,791
Isabela Id.,790
São Tomé,789
Socorro I.,777
Busuanga Island,769
Nukuhiva,765
Samar,763
Culion Island,759
María Magdalena,759
Batan Island,759
Rapa,759
Malakal Id.,756
Cebu Island,755
Mururoa Atoll,750
Lamu,740
Britain,737
Key West,734
Kyushu,729
South Caicos Island,727
Isla de Pascua,726
Tutuila Island,724
Okinawa,719
Amchitka Island,717
Erromango,710
Grande Comore I.,703
Montague Island,703
Hainan Island,702
Clarion I.,698
Santa Cruz Id.,692
Manhattan,687
Burias Island,674
Saint Kitts Island,671
Santa Catalina Id.,668
Cat Island,667
Cebu I.,667
Tortola,664
Kuiu Island,658
Sand Island,657
San Miguel,655
Kiritimati Atoll,653
Camiguin Id.,652
Dall Island,651
Isla de la Juventud,648
Kupreanof Island,648
Kwajalein Atoll,646
Bioko Id.,643
martinique,642
Anguilla,639
Eniwetok Atoll,635
Floreana Id.,628
Whidbey,621
Exuma,621
Panay Island,618
kerguelen,613
Antigua,607
Cedros Id.,606
Cebu,606
Marten Island,602
Rossel Island,601
New Britain Island,598
Fergusson Island,592
Panay I.,586
Tutuila I.,583
Saint Paul Island,581
Leyte I.,578
Honshu Island,571
Santa Catalina Island,570
Sakhalin Island,563
Daru Id.,562
Cayman Brac,559
Saipan Island,557
Efate,554
San Cristobal Id.,548
Sudest Island,548
Santa Cruz I.,546
Pitcairn,544
Camiguin I.,544
Fakfak Div.,542
Polillo Island,542
San Clemente,541
St. Vincent,540
chesterfield,538
Taumako,537
Socorro,536
Indonesia,534
Principe Id.,534
Green Island,533
Pohnpei I.,532
Basilan Id.,531
Sumatera,530
Babeldaob Id.,525
Mohotane Island,524
Corsica,524
Saipan,522
Nosy Be,520
Leyte Id.,520
Marinduque I.,517
Dominica Id.,517
Zanzibar,514
Epi,514
Bimini Islands,512
Ostrov Sakhalin,505
Maricaban Island,502
Unalaska Island,502
Cuba Id.,501
Heron Island,499
Monomoy Island,497
Graham Island,497
Isabela,496
Catanduanes Island,493
Choiseul Island,493
Shelter Island,493
"Yaeyama Islands, Ishigaki Island",492
Catanduanes I.,489
Carmen Id.,489
Woodlark Island,487
Guam Id.,487
Normanby Island,484
New Georgia,482
Trinidad Island,482
Adak Island,482
San Clemente Id.,480
Saint Eustatius Id.,480
Espanola Id.,475
Nonsuch Island,475
Victoria,474
Jolo Island,473
Saba Id.,472
San Clemente Island,471
Siquijor Island,471
Masbate Island,469
Grande Terre,463
Angaur I.,463
malo,458
Sanga Sanga I.,457
Saint Paul,456
Calvert Island,454
Onotoa Atoll,451
Dinagat Island,450
Bahama Islands,447
San Marcos Id.,446
Isabela I.,444
New Caledonia,444
Coron Island,444
Oahu Id.,443
San Juan Island,441
Rongerik Atoll,441
Rapa Island,440
Urukthapel I.,440
Guimaras Island,438
Saint Croix Id.,436
Saipan I.,433
grande terre,432
Big Damalawa Islet,429
Madang Province,427
Andros Island,424
Nantucket,424
Bougainville,424
Leyte,420
Muskeget Island,417
Sibutu I.,416
Espiritu Santo Id.,416
Yap,415
Sudan,414
Ano Nuevo Id.,412
Inagua Island,411
Avery Island,411
Majuro Atoll,409
San Jose Id.,406
Clarion Id.,402
New Ireland,400
South Georgia,400
Camiguin Sur Island,399
Santa Fe Id.,395
Hispaniola Id.,393
Forrester Island,390
Southeast Farallon Island,389
Arno Atoll,387
Lanai,387
Busuanga,383
Siargao I.,382
Tablas Island,380
Tara Island,379
Siquijor,379
Henderson Island,379
Koror,378
Saint Martin,376
Efate Island,375
Kayangel Atoll,375
Fanning,375
Malaita Island,374
Kosrae Island,373
Siquijor Id.,373
Matuku Island,373
Pratas Reef,373
Exuma Island,372
Chuuk Islands,371
North Male Atoll,371
Etolin Island,370
Bahrain,369
Puerto Rico Id.,367
Jolo Id.,366
Westham Island,364
Santa Maria I.,362
Aruba,362
Bohol,361
Ngalo Island,361
New Providence Island,360
Guana,357
New Ireland Island,355
Maricaban I.,354
Maumere Bay,354
Panay Id.,353
Charity,352
Santa Catalina,350
Vanua Lava,348
Big Razorback Island,345
Isabel Island,344
Viti Levu Id.,342
Samar I.,341
Emira Island,337
Tinian Island,336
San Salvador Id.,335
Maria Madre Id.,335
Grand Bahama,333
Kayangel I.,333
San Miguel Island,332
Great Inagua,330
Ngerekebesang Id.,330
Philippines,329
Curaçao,329
Ndendo Island,327
Rarotonga,325
Nias Island,325
"Sulu Archipelago, Basilan Island",325
Jolo I.,323
Misima Island,323
Martinique,321
