behavior,reps
,20368095
song,31321
call,26784
song; advertise,17895
call; song,5416
forage,4659
call; advertise,3127
perch,2989
crossing road,2856
call; fly,1911
call; song; advertise,1856
fly,1675
call; forage,1511
advertise; song,1388
call; emit alarm,1281
swim,1187
song; call,933
song; dawn song; advertise,892
rest,880
call; establish flock contact,785
song; perch,778
advertise; call,744
song; dawn song,718
grunts,682
fly; call,676
preen,676
advertise,653
dead on road,617
call; scold,580
call; mate,577
walk,576
call; mechanical sound,574
stand,545
call; perch,529
song; advertise; forage,518
song; duet,516
sit on nest,503
song; mechanical sound; stridulate,500
song; forage,476
fly; perch,460
mechanical sound,456
eat,447
perch; song,433
perform visual display,425
mechanical sound; song; advertise,419
perch; take flight,384
perform courtship display,376
preen; perch,372
song; court; advertise,369
song; duet; advertise,359
song; advertise; court,354
song; counter singing; advertise,349
swimming,341
mechanical sound; song,339
basking,325
call; forage; establish flock contact,298
forage; walk,281
call; beg,281
forage; call,264
forage; swim,257
Dead on road,238
call; emit alarm; Social context: colony,231
mechanical sound; bill drumming,216
song; counter singing,214
emit alarm; call,208
perch; call,200
sunning,197
singing,196
call; Social context: colony,193
call; song; advertise; forage,189
surface dive; swim,188
call; Social context: mixed,186
call; perform visual display,183
?,183
Perched,176
forage; fly,173
song; advertise; Social context: mixed,166
call; song; dawn song; advertise,161
forage; perch,158
bathe,154
song; advertise; perform visual display,154
hop; perch,154
swim; preen,152
call; song; forage,152
preen; rest,149
advertise; call; song,147
mechanical sound; stridulate; song,145
build nest,144
duet,142
incubate; sit on nest,141
call; fly; establish flock contact,139
clicks; whistles,137
song; perform visual display,134
call; song; counter singing; mate; establish parent young contact; care for young,133
slither,132
walk; forage,131
cling,131
song; fly,129
emit alarm,127
perch; preen,126
call; mate; forage,125
swim; forage,124
contact; call,123
song; dusk song; advertise,122
drink,120
call; Social context: family,120
clicks,119
establish flock contact,116
fly; land,116
duet; song,116
call; song; advertise; mate,116
perch; rest,115
vocalize,114
On Tape,113
song; mimicry,112
call; mechanical sound; bill drumming,112
call; advertise; forage,112
take flight; perch,110
call; forage; fly,109
song; advertise; mate,106
mechanical sound; bill drumming; advertise,104
call; establish parent young contact; beg,104
fly; call; perch,103
feed young,103
call; court,101
"At capture, exposure was full sun and the lizard was moving.",99
swim; surface dive,99
call; song; duet,99
call; song; emit alarm,98
call; song; advertise; emit alarm,97
Social context: mixed,97
call; establish parent young contact,96
hop,96
lek; perform visual display,93
establish flock contact; call,92
roost,92
call; mechanical sound; forage,92
call; beg; Social context: family,92
song; Social context: mixed,90
beg; call,90
song; lek,89
beg,89
mechanical sound; advertise,88
call; fly; emit alarm,87
song; call; advertise,87
advertise; counter singing; song,87
forage; preen,86
call; depart,86
call; mechanical sound; song,84
Stand/Perch,84
incubate,83
"At capture, exposure was partial sun and the lizard was moving.",83
Singing,83
dawn song; song,83
song; mimicry; advertise,83
song; court,82
perform visual display; perch,82
call; song; dawn song,81
carry food in bill; perch,81
song; advertise; fly,80
On Territory,80
perform visual display; call; perch,78
perch; forage,77
call; forage; Social context: mixed,77
call; song; mate,76
depart; perch,76
eat; perch,75
call; song; scold,75
call; duet,75
song; advertise; lek,74
call; mechanical sound; fly,73
"At capture, exposure was full sun and the lizard was lying still.",72
call; Social context: troop,72
lek,71
preen; stand,70
forage; hop,70
carry food in bill,69
forage; peck,69
court,68
perch; hop,68
run,68
call; mob,67
dead,66
dawn song,66
call; contact,66
song; mate,64
Social context: colony,64
forage; song,63
call; fight,63
fly; song; perch,63
emit distress calls,62
Response To Playback,62
stand; walk,61
eat; forage,60
Not Seen,60
call; song; advertise; scold,60
call; roost,59
call; advertise; establish flock contact,59
dead on road; crossing road,58
call; song; mate; advertise,58
beg; feed young,57
song; dawn song; fly,57
song; mechanical sound; advertise,56
call; emit alarm; scold,56
singing 'phebe-o',56
