disposition,reps
"in ANSP collection presumably, but status unconfirmed",59696
"On loan, see Loan Database In Collection Missing parts, see Inventory Remarks",1
"Missing parts, see Availability Remarks In collection",141
ON LOAN - PEABODY,12
"Sent in exchange to Edwin Ashby, Australia",581
Exc. Bonn. Mus.,2442
"Sent to Academy Nat'l Sciences, Sept 21, 1939 in e",1
"Given in exchange to Field Museum of Nat'l Hist.,",151
B.P. Bishop Museum,16
Exch. with Tring Mus. 9 Jul 1928,6
Exch. w. Netterstrom Ostersund Sweden 1-6-54,1
"Exch. to Mr. Dieter Blume, Germany, Dr. Short, 5/2",2
"Sent to R.M. Strong, Chicago, 24 Sep 1903",6
"Exch. sent to Cleveland Mus., 6 Jan 1932",94
"to Berlin Museum, Jan 1956",442
"Sent in exchange to Bishop Museum, April 1928",28
"Exch. with Imp.Col.Agr. Japan, Oct.'08",22
"Discarded, Jul 1920",27
"Exch. with Kny - S. Co., Mar 1902",3
Exchange - A.M. Peklo-Reissia,1
"Discarded, Destroyed by insects, 9 May 1917",37
"Exchange to Academy of Natural Sciences, April 192",2
"Exch. with O. Bangs Sept 20, 1918",90
Sent in Exch. Univer. Florida Prof. Pierce Brodkor,1
Exch. Geo. E. Mason July 1922,6
"Ex. with P.L. Sclater, Sep 1893",114
"Exch. Count von Berlepsch, Feb.'05",13
"Exch. Geo. E. Mason, Jul 1922",62
"Presented to British Museum by T. Gilliard, Oct 23",2
On Loan,3186
In Collections,163993
56,1
present,93334
exchange,54
"Exch. with Imp.Col.Agr., Japan Dec.'09",8
5,27
7,16
CIBNOR,75
"Exchange with M.C.Z. July, 1928.",1
"Exchange with Tring Mus., July 9, 1928",4
Gift of Geo. A. Haux,1
Exchange Stockholm N.H. Museum-May 1927,1
"Sent to Field Museum, Chicago, on exchange - 4 Mar",2
"Exch. E. Lehn Schioler, Jan 1927",57
Exch. U.S.N.M. July 1921,1
"Exchanged with Prof. Wm. W. Marshall, U. of Minnes",2
Gift of Carl Rimgins,2
"Sent to Lord William Percy London, Sept 1924",1
Ex. with Dr. Rusby,1
Found - discovered by AMCC inventory,71
"Exch. with Stockholm N.H. Museum, May 1927",18
Open exchange dwith National Wildlife Federation,1
"Exch. with Phila.Acad.Nat. Sci., July 1928",2
Ex. with G.Kohn Nov.29/90,7
"Exch. Tring Mus. England, July 1906",2
Ex. with S.I. Nov 27 1889,2
"Exch. Museo Nacional, Argentina, Sept '17",36
Exchange Museum of Southwestern Biology Aug 2002,1
"Presented to U.S. Customs, Herbert Geller, May 16,",2
"Exch. with S.I. Nov.27,1889",1
"Exch. Field Mus., Chicago, Nov 1922",5
On exhibit (Biodiversity Hall),28
Given to Dr. William H. Phelps on the occasion of,1
B.P. Bishop,1
"Exch. with U.S. National Museum, 18 Feb 1925",11
Exch. U.S. Nat. Museum July 1921,10
"Exch. sent to Swedish Mus., Dec 12,1931",4
U.S. Nat. Mus.,2
C.Z. Eustargio Menchez Exchange to Corgas Mem. Lab,1
"Exch. to Prince Hans of Liechtenstein, 1952",8
"Sent in exchange to Academy Nat. Sciences, April 1",1
Exch. Brit. Mus. Sep 1927,13
"Exchange to Peterson Museum, N.J.",4
Presented to Michigan St. Univ.,1
Gift to the Berlin Museum never sent M.L.,2
Exch. with Outram Bangs-Museum Comparative Zoology,2
"Exchange to Queensland Museum, Australia, D.P. Ver",4
"Given in exchange to Cleveland Museum, May 1927",3
"Exch. to Miguel Lillo Institute, Dr. C.C. Olrog, T",1
Buffalo Museum of Sci.,30
Mt. for Forestry Hall,2
Exch. with Dr. L.C. Sanford Feb. 1919,1
Duplicate for U.S. Nat. Mus. Nov 1912,18
"Exch. with Carnegie Mus., June 1929",2
Discarded from Coll.: 21 Oct 1931. (Dept. of Prepa,2
Exch. with Stockholm Mus. June 14 1929,2
"Taken by Mr. Morden to Acad. Sci., Leningrad, July",7
No. 462 Exchange Coll. of E.A. Mearns,1
Ex. with Kny S & Co.,10
"Gift to SWRS, Oortal, Ariz.",1
"Exch. to U.S. National Museum, Jan, 1932",1
"Exch. to Alex Walker, 1961",15
"Sent in exchange to Edwin Ashby,Australia",8
"Exch. Tring Mus., England, Jul 1906",20
"Exchanged with Carlos Reeds Mendoza, 9 Feb 1917",2
"Exchanged with A.G. Paine,Jr. Dec. 1 1886",1
"Sent in exchange to Occidental Coll., Calif., Oct",1
"Exch. Cleveland Museum, June 1923",9
"Exchanged with Kline, 10 Jul 1906",1
"Exchanged to Goeldi Museum Belém, Brazil June 1989",1
Exchanged to Prince Hans of Liechtenstein,1
Exch. with Imp.Col.Agr.Japan Oct'08,2
Given away in place of a bird sent in to be skined,1
"Ex. with R. Meinerzhagen, Jun 1924",14
"Exchanged to Dr. Campos Seabra, R. de Janeiro, Apr",1
Sent in exchange with Leiden Mus. Nov 1934,4
"Exch. with Mus. of Comp. Zoo., Dec 1922",2
"Ex. with R. Meinerzhagen, Jun 1[illeg][illeg]4",1
systematic Exchange,2
Sent to U.S. National Museum 1925,7
Gift to W. New Mex. U. - 1968,3
"Mounted for the Japanese Group, June 1960",2
"Presented to Cornell University, April 1921",14
"Exchange to Academy of Nat. Sciences, April 1928",1
"Given to Mr. Sherwood, 10 Apr 1905 (to use quills)",1
"Exchange to Bishop Museum, April 1928",2
Buffalo Museum of Sci,1
Exch. with Imp.Col.Agr. Japan Oct.'08,26
Exchange with Mr. Roger for Chactura thomensis #63,1
Exch. E. Lehn Schioler Jan. 1927,2
"Discarded, Mar 1942",2
"Given in exchange to Mr. W.H. Phelps, Nov 15, 1946",1
Exchange with M.C.Z. July 1928,3
"In Collection Missing parts, see Inventory Remarks",4
35,1
From L.B. Davenport,1
"To Dutchess Comm. Coll., 1969",2
"Exchanged to Rolf Grawtsau Parque Terra nova, S.B.",1
"Sent in exchange to Brooklyn Museum, 19 Aug 1927",2
Exch. with Phila.Acad.Na.Sci. July 1928,2
Exch. with Brown Univ.,1
"Given to Dr. Sanford, Dec 24, 1932",7
