geodeticDatum,reps
NAD83,233750
Ocotepeque 1935,8653
AGD66,84266
Fundamental de Ocotepeque,7463
Lemuta,74
American Samoa 1962,42
GPS,836
Not recorded,2575
WGS 163,54
North American Datum 1927,568787
North American Datum 1983,26133
Australian Geodetic 1966,1858
South American Datum 1969,899
Corrego Alegre,245
Provisional La Conoa 1956 (Venezuela),42
,9517943
WGS170,1
NAD83/WGS98,1
NAd83,3
WGS94,1
WGS 89,5
NAD83/WGS97,1
WGS184,1
WGS181,1
18 40' 27.6 N 109 36' 15.9 E,2
WGS147,1
NAD35,2
WGS234,1
WGS162,1
1,1
NAD83/,1
NAD83/WGS96,1
WGS132,1
WGS117,1
WFGS84,1
Cape,1
WGS189,1
NAD 1924,1
WGS130,1
WGS98,1
WGS228,1
NAD27?,1
NAD83?WGS84,1
WGS223,1
WGS165,1
WGS146,1
WGS161,1
WGS84,2150197
not recorded (forced WGS84),2928755
WGS203,1
WGS200,1
Provisional South American 1956,3034
New (1960) Arc,739
Amersfoort,317
Kusaie Astro 1951,373
WGS84/NAD83,182
Australian Geodetic 1984,1019
Indian 1960,139
NAD 1983,102
Montserrat Island Astro 1958,22
Ireland 1965,52
Ain el Abd 1970,20
0.3 km,2
WGS220,1
18 42' 24.0 N 109 52' 55.5 E,10
Unknown,41
Astronomic Station Ponape (1951),3
UTM NAD27,10
UNKNOWN,27
International 1924 ellipsoid,13
WGS142,1
WGS108,1
WGS186,1
18 43' 29.5 N 109 52' 07.4 E,2
WGS182,1
WGS97,1
WGS150,1
Arc 1950,1
NAD37,1
WGS134,1
3635.192,3
UTM NAD83,1
WGS102,1
WGS158,1
Australian Geodetic Datum 1984,1
WGS227,1
WGS145,1
WGS229,1
WGS151,1
WGS163,1
WGS240,1
WGS100,1
NAD83?,1
GEOLocate,1
WGS174,1
WGS212,1
NAD85,1
WGS103,1
NAD83/WGS84w,1
WGS180,1
NAD 83,939
WGS128,1
NAD83/WGS84,64
PRP_M,27725
GUX 1 Astro,141
Arc 1960,219
Australian Geodetic Datum 1966,122
Hu-Tzu-Shan,1442
"NAD27 UTM, NAD83 Decimal Degrees",36
NAD - 1927,28
WGS,94
NAD83/WGS94,3
New (1950) Arc,70
1962 American Samoa,9
WGS84 (originally NAD83),1
WGS87,5
CAPE,18
Fort Thomas 1955,19
19 06' 55.3 N 109 05' 52.5 E,18
NAD83/WGS86,1
WGS109,1
WGA84,6
WGS101,1
WGS120,1
WGS197,1
WGS166,1
Antigua Island Astro 1943,3
WGS125,1
European Datum 1950,1
UTM,4
Indian 1954,8
WGS116,1
WGS194,1
WGS131,1
WGS144,1
WGS126,1
WGS92,1
WGS173,1
WGS156,1
WGS206,1
WGS204,1
WGS211,1
WGS230,1
North American 1983,1
WGS153,1
WGS239,1
WGS86,5
WGS190,1
Japanese Geodetic Datum 2000,9880
GDA94,8040
Luzon,156
NAD28,29
Clarke 1858,468
NAD1927,2068
18 43' 46.6 N 109 52' 34.2 E,47
WGS222,1
Reunion,90
WGS217,1
NAD29,8
NAD34,2
NWS84,6
WGS 102,8
NAD83/WGS128,10
WGS164,1
18 41' 14.1 N 109 52' 45.8 E,4
NAD83/WGS100,3
WGS168,1
WGS231,1
WGS148,1
WGS152,1
WGS111,1
WGS238,1
WGS199,1
WGS121,1
WGS215,1
WGS237,1
WGS175,1
WGS178,1
WGS183,1
WGS129,1
WGAS84,1
WGS90,1
WGS118,1
WGS167,1
WGS113,1
WGS192,1
WGS219,1
not recorded,2401742
(NAD27) North American 1927,10
WGS179,1
WGS85,16
wgs84,174
POS,31
NAD 27,18944
Geodetic Datum of Australia 1994,1551
WGS 1984 (WGS 84),236
Tokyo Datum,33
World Geodetic System 1966,556
European 1950,211
WGS 1984,5505
WGS104,1
NAD 1927,84
WGS 88,5
Geocentric Datum of Australia 1994,48
WGS106,1
WGS177,1
"NAD, WGS84",3
Viti Levu 1916,27
WGS169,1
Ocotepeque,17
NAD1983,26
none indicated,1
ND83,1
NAD,3
WGS154,1
WGS91,1
18 44' 01.4 N 109 32' 54.0 E,8
NAD83/WGS95,1
WGS83,8
WGS171,1
WGS235,1
WSG84,2
WGS216,1
WGS210,1
18 40' 14.8 - 18 41' 14.1 N; 109 52' 58.3 - 109 52' 45.8 E,1
WGS149,1
WGS176,1
WGS207,1
2267.192,2
unknown-NAD83 assumed,1
WGS119,1
WGS226,1
NAD83/WGS85,1
WGs84,1
WGS107,1
WGS201,1
WGS 84,124457
unknown,418107
WGS72,201
Kenya Colony,405
Bogota Observatory,2054
Indonesian 1974,73
Djakarta (Batavia),208
Not Recorded,822
WGS1984,5247
Indian 1975,43
Schwarzeck,103
Ordnance Survey of Great Britain 1936,77
AGD84,3852
"UTM NAD27, NAD83 Decimal Degrees",909
UTM projection,18
GRA,14
WGS 159,26
18 42' 24.0 - 18 41' 14.1 N  109 52' 55.5 - 109 52' 45.8' E,11
WGS233,1
NAD36,2
WGS198,1
18 54' 20.2 N 109 40' 48.6 E,22
Trib. To Na,3
WGS127,1
WGS185,1
