lifestage,reps
,16053341
adult,941564
unknown,335849
adult/juvenile,235087
Adult,199937
juvenile,157214
larva,135336
Adult/juvenile,94514
immature,82633
u ad.,79003
U-Ad.,62731
ad,61953
egg,60279
Juvenile,52086
fresh,36890
NA,36312
Fresh,33609
larval,32719
Immature,32262
Pullus,30139
not applicable,28544
Not recorded,25538
U,25500
Ad,24710
ad.,24109
têtard,23516
Juv,23269
possible adult(s),22044
Unknown,20826
Adult or juvenile,18648
juv,16122
Indéterminé,14408
subadult,13083
imm.,13011
not recorded,12160
Larva,11203
imm,11186
2K+,10960
juv.,10627
2 adult,10343
J/A,9489
Adulte,8425
juvénile,8205
slight,7672
Ad.,7571
ad.sk.,7373
Larvae,6433
AHY,6282
young,6229
ADULT,6190
yolk sac,6075
AD,6074
Slight,5985
begun,5849
subad.,5704
adulte,5575
3K+,5178
chick,5027
Subadult,4977
Young,4966
Begun,4789
3 adult,4620
embryo,4560
nestling,4360
yg,4242
Adult or Juvenile,3996
U-Ad,3994
2K,3969
advanced,3840
Chick,3534
started,3369
Juv.,3256
4 adult,2888
1K,2879
Advanced,2871
n/a,2842
undetermined,2783
hatch-year,2771
TADPOLES,2718
juvenile(s),2695
Started,2685
HY,2651
u imm.,2487
YOUNG,2437
natal,2357
Hatchling,2306
Imm.,2230
no bursa,2213
2 unknown,2204
commenced,2168
Larval,2165
5 adult,2121
Embryo,2090
skull,2060
imago,1892
downy,1833
Tadpoles,1770
larva(e),1749
Not recorded.,1748
Commenced,1728
6 adult,1704
adult skull,1669
JUVENILE,1668
LARVAE,1664
u juv.,1615
young of year,1566
larvae,1538
U-Imm.,1509
Im.,1492
sk.oss.,1479
adults,1404
sy,1400
4 egg,1380
U-Juv.,1377
NST,1358
7 adult,1289
Gosner 42: tadpole w/forelimbs emerged,1283
No Data,1275
52 WEEKS,1265
hatched,1239
3 egg,1226
Juvénile,1191
mature,1178
Nestling,1164
Gosner 25-27: tadpole w/no legs,1136
hatchling,1123
hy,1121
infant,1106
Metamorph,1080
im.,1070
TADPOLE,1069
full grown,1060
1 years,1052
age by plumage,1041
22 WEEKS,1022
small embryos,1021
not indicated,1005
Mature,1000
Infertile,996
8 adult,989
[Ad.],980
NO BURSA; SKULL 100% OSS.,971
nat.,959
