geodeticDatum	reps
\N	344905804
-27.83809	61
-41.0497222	1
1674	1
1883	1
2310	1
3066300_388600	1
891	1
AMG 50JLM677333	1
Balanus Seamount	3
EPSG:4326	14893379
GEO-SIRGAS2000_EGM-3814	29
GEO-SIRGAS2000_EGM-800	1
MDB&M	1
Nad27	7
WGS179	2
WGS3617	1
-16.573	8
-21.48069	2
-66,17	1
2311	1
5.487342	1
AGS 66	1
EPSG:4327	2
GEO-SIRGAS2000_EGM-1174	703
GEO-SIRGAS2000_EGM-1554	45
GEO-SIRGAS2000_EGM-1934	1
GEO-SIRGAS2000_EGM-19393	5
GEO-SIRGAS2000_EGM-19735	1
GEO-SIRGAS2000_EGM-801	1
NAD83, WGS84	1
NAD83/WGGS84	1
WBS84/NAD83	18
WGS1984	163375
WGS3618	1
-59.9265111	8
-59.9340278	14
-59.9503806	8
2141	4
46.23944444	4
EPSG:4328	1
GEO-SIRGAS2000_EGM-1346	8
GEO-SIRGAS2000_EGM-1384	3
GEO-SIRGAS2000_EGM-1517	52
GEO-SIRGAS2000_EGM-1555	11
GEO-SIRGAS2000_EGM-1726	10
GEO-SIRGAS2000_EGM-19774	1
GEO-SIRGAS2000_EGM-20244	17
GEO-SIRGAS2000_EGM-21869	1
GEO-SIRGAS2000_EGM-3436	1
GEO-SIRGAS2000_EGM-802	1
GEO-SIRGAS2000_EGM-840	1
WGS34	358
WGS3619	1
WGS72	292
nad27	3
-41.04797	1
-59.9313028	5
1468	1
229	2
EPSG:4329	1
GEO-SIRGAS2000_EGM-1556	32
GEO-SIRGAS2000_EGM-252	1
GEO-SIRGAS2000_EGM-2610	4
GEO-SIRGAS2000_EGM-803	1
GNIS	1
Minna	9
NAD83&WGS84	3
Schwarzeck	109
UTM54	6
WGS	867
WGS200	2
WSG84	103
± 100 m	1
-26.24858	2
-29.26774	3
-55.0355833	1
1469	6
4.865308	1
439	1
895	1
AGD84-GDA94	1
Desconocido	25
GEO-SIRGAS2000_EGM-1519	193
GEO-SIRGAS2000_EGM-1595	90
GEO-SIRGAS2000_EGM-20417	8
GEO-SIRGAS2000_EGM-20455	3
GEO-SIRGAS2000_EGM-215	16
GEO-SIRGAS2000_EGM-3229	38
GEO-SIRGAS2000_EGM-804	1
NAD27 UTM, NAD83 Decimal Degrees	72
NAD83/WGS84, ACME Mapper 2.1	1
North America 1983/NAD83 (GRS 80)	3
WGS 72	13
WGS201	2
WGSS84	1
WS 1984	3
-55.5225833	1
GEO-SIRGAS2000_EGM-254	13
GEO-SIRGAS2000_EGM-634	89
GEO-SIRGAS2000_EGM-805	1
Indian 1960	139
Oman	9
WGS202	2
WGS240	2
WGS84, WP333	2
(NAD/WGS84)	1
-35.0180556	3
2.440811	2
46.82527778	2
AGD64	1
AMG 50  AGD84	1
Clarke 1858	478
GDA94, 54h.	3
GEO-SIRGAS2000_EGM-1388	1
GEO-SIRGAS2000_EGM-806	1
NAD83/ WGS84	1
WGS203	2
WGS241	1
ãóäàåðà	1
-60.7032778	1
1110	2
AMG66 - WGS84	1
GEO-SIRGAS2000_EGM-1389	289
GEO-SIRGAS2000_EGM-1769	13
GEO-SIRGAS2000_EGM-18743	53
GEO-SIRGAS2000_EGM-807	1
GPS_loran	2
MAD27	2
NAS27	2
WGS204	2
WGS242	1
-1.5971	4
-31.05985	7
AGD66	125944
European 1950	2489
GEO-SIRGAS2000_EGM-675	8
GEO-SIRGAS2000_EGM-808	1
GPS 321	1
Romoland 7.5\' Q.	1
Toyko	139
WGS 159	26
WGS205	2
WGS243	1
-17.86996	1
-25.6667	2
-27.40089	1
1701	3
500	3
AGD-84	4
Arc 1950	2
GEO-SIRGAS2000_EGM-809	1
GPS 322	1
San Antonio de los Cobres	19
WGS206	2
WGS244	1
not applicable (no coordinates)	2822
-17.22805	6
-17.81781	3
-22.38703	8
-27.44688	2
-59.9603528	5
1322	1
Bogota Observatory	2126
GDA	1264666
GEO-SIRGAS2000_EGM-1410	2
GEO-SIRGAS2000_EGM-15411	1
GPS 190	1
NAD 27, map estimate	237
WGS207	2
WGS245	1
WGS84; accuracy in ft	3
1190	1
1570	3
18 40' 27.6 N 109 36' 15.9 E	4
1912	3
2739	2
Corrego Alegre	245
Fort Thomas 1955	19
GDA94-WGS84	1
GEO-SIRGAS2000_EGM-18709	15
GEO-SIRGAS2000_EGM-3121	17
GPS 324	1
WGS208	2
WGS246	1
СК 42	14
1115	1
1780	1
20	1
750	13
GEO-SIRGAS2000_EGM-1621	1
GEO-SIRGAS2000_EGM-18995	2
GPS 325	1
NAD30	7
NAD83/WGS4	2
WFS84	2
WGS209	2
WGS247	1
ìõì	5
-15.84	13
-31.04156	6
1.253103	1
145.602E	1
1990	1
21	2
GDA94 AGD84	1
GEO-SIRGAS2000_EGM-1280	2
GEO-SIRGAS2000_EGM-19252	12
GPS 326	1
Google Earth	243
MGA	8
NAD31	3
WGS248	1
±1000 m	1
-15.67585	3
-18.16667	4
-59.9877778	1
1155	2
1364	1
1991	1
22	1
46.994	2
790	2
GEO-SIRGAS2000_EGM-1452	15
GEO-SIRGAS2000_EGM-18579	1
GPS 327	1
Helen	1
NAD, WGS84	3
NAD32	3
Ocotepeque 1935	8653
WGS249	1
-16.33333	5
-61.4465417	3
1327	5
1745	1
2001	2
23	1
335	2
715	6
GEO-SIRGAS2000_EGM-1415	21
GEO-SIRGAS2000_EGM-700	1
GPS 328	1
JGD2000	127929
NAD33	3
NAD83/WGS84w	1
QDA94	1
WGS84/GDA94	114
(WGS 84 datum used).	1
-63,00	1
1000 m	2
165	1
1917	1
24	3
ADG66	9
GEO-SIRGAS2000_EGM-19293	1
GEO-SIRGAS2000_EGM-19635	1
GEO-SIRGAS2000_EGM-21768	2
GEO-SIRGAS2000_EGM-3962	1
GEO-SIRGAS2000_EGM-701	1
GPS 329	1
NAD27 GPS	3
NAD34	3
NZGD49	16543
North American 1983	1
WGD84	5
-17.04372	2
-32.39922	24
-34.90688	2
-59.9326222	4
-59.9401389	3
-61.9359500	1
128	4
1329	7
1538	5
22.211654	1
755	1
Datum Aust. Geod. 66.	1
Delaware	1
GEO-SIRGAS2000_EGM-1246	1697
GEO-SIRGAS2000_EGM-1626	125
GEO-SIRGAS2000_EGM-20942	293
GEO-SIRGAS2000_EGM-21769	4
GEO-SIRGAS2000_EGM-3754	44
GEO-SIRGAS2000_EGM-702	1
GEO-SIRGAS2000_EGM-740	1
NAD35	2
wsg84	1120
-17.1459	1
-24.30008	2
-27.94917	2
-59.9412139	4
338	3
GEO-SIRGAS2000_EGM-5294	605
GEO-SIRGAS2000_EGM-532	2
GEO-SIRGAS2000_EGM-703	1
GEO-SIRGAS2000_EGM-741	1
GEO-SIRGAS2000_EGM-950	298
NAD36	2
WGS100	3
World Geodetic System 1972	2896
18 43' 29.5 N 109 52' 07.4 E	4
1996	2
2252	11
27	92
AMG	92
GEO-SIRGAS2000_EGM-20735	1
GEO-SIRGAS2000_EGM-704	1
GEO-SIRGAS2000_EGM-742	1
GEO-SIRGAS2000_EGM-780	14
NAD/WGS84	1
NAD37	1
SAD69	93500
WAS84	1
WGS101	3
WGS84, decimal degrees	1204
WGS84/DGA94	1
lob2013-0-20	1
-0.9992	4
-25.09407	2
-59.9554833	6
18 42' 24.0 N 109 52' 55.5 E	20
1959	14
2253	6
549	2
Agd66	2
GEO-SIRGAS2000_EGM-1249	24
GEO-SIRGAS2000_EGM-1876	5
GEO-SIRGAS2000_EGM-2550	2
GEO-SIRGAS2000_EGM-705	1
GEO-SIRGAS2000_EGM-743	1
GEO-SIRGAS2000_EGM-781	3
Holzmaden	16
Manning Seamount	11
NAD38	1
UTM 32 T 0361693 4892297	1
WGS-1984	53
WGS102	3
WGS140	2
ñêåðäà	8
-61.4825444	1
1962 American Samoa	9
2045	5
6.222861	2
GEO-SIRGAS2000_EGM-1459	1
GEO-SIRGAS2000_EGM-4090	5
GEO-SIRGAS2000_EGM-706	1
GEO-SIRGAS2000_EGM-744	1
GEO-SIRGAS2000_EGM-782	1
GPS 010	1
NAD39	1
NAD83 / WGS84;	1
WGS103	2
WGS141	2
WGS84/GPS94	1
WGS85/NAD83	16
öèííà	1
2084	3
AGD 66	18811
AMG 50JLL666947	1
GDA94,  WGS84.	1
GEO-SIRGAS2000_EGM-2723	13
GEO-SIRGAS2000_EGM-574	48
GEO-SIRGAS2000_EGM-707	1
GEO-SIRGAS2000_EGM-745	1
GEO-SIRGAS2000_EGM-783	1
Kertau 1948	49
Unkown	2
WGS 894	1
WGS104	2
WGS142	2
WGS180	2
agd66	1
(NAD83/WGS84)	16
-0.444	4
-13.25986	2
-15.45658	12
-17.57592	8
-21.38238889	2
-29.08333	1
-34.97258	7
-59.9223806	18
-59.9279139	2
-61.5875000	4
-7.8119	2
2047	5
2636	3
GEO-SIRGAS2000_EGM-119	1
GEO-SIRGAS2000_EGM-2135	123
GEO-SIRGAS2000_EGM-708	1
GEO-SIRGAS2000_EGM-746	1
GEO-SIRGAS2000_EGM-784	1
GEO-SIRGAS2000_EGM-96	55473
GPS 221	1
NULL	758577
WGS 1984	7906
WGS105	2
WGS143	2
WGS181	2
WGS4	1
epsg:4202	153969
unkknown	4
-17.4096	6
-46.8205556	1
-59.9588861	4
1221	4
400	1
AGD84 AMG 50	1
AMD66	1
AMG 850552	1
GEO-SIRGAS2000_EGM-709	1
GEO-SIRGAS2000_EGM-747	1
GEO-SIRGAS2000_EGM-785	1
WGS106	2
WGS144	2
WGS182	2
WGS3620	1
WGS84 WP	1
-2.8428	2
-25.44704	2
1431	11
4.148745	2
9.60	1
EPSG:4330	1
GEO-SIRGAS2000_EGM-748	1
GEO-SIRGAS2000_EGM-786	1
NAD93/WGS84	4
WGS107	2
WGS145	2
WGS183	2
-32.34582	3
-32.84918	1
-37.83934	1
402	1
47.86666667	6
ADG 66	3
Australian Geodetic 1966	1862
EPSG:4331	8
GDA94,  WGS84	1
GEO-SIRGAS2000_EGM-2974	2
GEO-SIRGAS2000_EGM-578	3
GEO-SIRGAS2000_EGM-749	1
GEO-SIRGAS2000_EGM-787	1
Ocotepeque	17
WGS108	2
WGS146	2
WGS184	2
WGS3622	1
WQGS84	4
1262	1
270	1
47.00305556	2
650	5
AGS66	2
EPSG:4332	1
GEO-SIRGAS2000_EGM-21493	91
GEO-SIRGAS2000_EGM-2177	11
GEO-SIRGAS2000_EGM-788	1
QGS84	2
UTMG NAD27, Decimal Degrees NAD83	1792
WGS109	2
WGS147	2
WGS185	2
WGS8	76
lob2013-0-28	1
-16.26035	4
1643	3
1681	1
EPSG:4333	1
GEO-SIRGAS2000_EGM-1940	710
GEO-SIRGAS2000_EGM-21627	19
GEO-SIRGAS2000_EGM-4857	25
GEO-SIRGAS2000_EGM-789	1
NAD1983	1297
Reunion	90
WGS148	2
WGS186	2
WGS3624	1
elliott trap	110
-26.0529	4
-61.4645222	3
-61.9296667	1
18 44' 01.4 N 109 32' 54.0 E	16
AMG 6	1
Benkovac	4
EPSG:4334	1
GEO-SIRGAS2000_EGM-15182	1
GEO-SIRGAS2000_EGM-21286	8
GEO-SIRGAS2000_EGM-4269	2
WGS149	2
WGS187	2
WGS3625	1
-19.01541	10
1816	3
8000	1
EPSG:4335	1
GEO-SIRGAS2000_EGM-1315	17
GEO-SIRGAS2000_EGM-1391	2
GEO-SIRGAS2000_EGM-1771	112
GEO-SIRGAS2000_EGM-20080	1
ITRF92	1014
NAD83 / WGS84	365
WGS188	2
WGS3626	1
WGSA84	6
-25.46667	6
-59.9490583	4
274	5
EPSG:4336	3
GEO-SIRGAS2000_EGM-810	1
GoogleEarth	2
Guam 1963	459
UTM projection	36
WGS 1984.	98
WGS189	2
WGS80	49
(GDA94) (AGDA84)	1
-25.1397	1
-25.43333	1
-59.9425333	3
-59.9463333	2
1685	5
20 03 00.0  N 110 19 11.0 E	2
AMG 751700 5837400	1
Desconhecido	477
EPSG:4337	4
GDA-94	30
GEO-SIRGAS2000_EGM-1146	18
GEO-SIRGAS2000_EGM-1564	11
GEO-SIRGAS2000_EGM-20842	6
GEO-SIRGAS2000_EGM-811	1
Geod 66 54 H	7
SGD66	1
UTM 32 T 0379641 4894590	2
(WGS84 used).	1
-16.49239	5
-16.79216	1
-28.84248	1
-59.9237861	8
-59.9620250	7
/ Thomisidae sp.	1
1439	2
1648	3
865	2
EPSG:4338	2
GEO-SIRGAS2000_EGM-1907	136
GEO-SIRGAS2000_EGM-1983	220
GEO-SIRGAS2000_EGM-2030	3
