v_earliestAgeOrLowestStage,reps
Lower Silurian,1
Parkinsonian,1
Yeovilian,1
"{ ""geologicAge"" : ""Late Cretaceous; Cenomanian; Turonian""}",1
"{ ""geologicAge"" : ""Eocene (Kamloops Group; McAbee Beds (informal))""}",1
Lower Richmondian,1
CENOMANIEN,1
Barrémien-Turonien,1
NPD7A (lower part) of Yanagisawa & Akiba (1998),1
upper Keuper?,1
"{ ""geologicAge"" : ""Jurassic""}",1
Late Lias,1
Llandoveran,1
early Paleocene (Danian),1
Middle Jurassic (early Bajocian),1
"{ ""geologicAge"" : ""Cretaceous; Tertiary (Edmonton Formation; Paskapoo Formation)""}",1
Silurien moyen,1
WISCONSINAN,1
Middle Campanian?,1
Waltonian,1
Late Cretaceous (early Cenomanian),1
Cenomaniano,1
"{ ""geologicAge"" : ""Mississippian (Charles Formation)""}",1
Sparnacien,1
upper Middle,1
Siegenien,1
"{ ""geologicAge"" : ""Cretaceous (Placer deposit)""}",1
"{ ""geologicAge"" : ""Cretaceous (Oldman Fm.)""}",1
Late Cretaceous (Campanian?),1
MIS 8. 2-7.4,1
"{ ""geologicAge"" : ""Cretaceous; Tertiary (Prairie Bluff Chalk (Maestrichtian); Clayton Formation, Pine Barren Member (Pa""}",1
Late Devonian (late Chautauquan),1
Llanvrnian,1
"{ ""geologicAge"" : ""Pleistocene (late)""}",1
MIS 14,1
AG,1
late Early Albian,1
early Tortonian,1
REfugian,1
Chemung Fm,1
Langebaanian,1
Bajocian Age,1
"{ ""geologicAge"" : ""Eocene (Allenby Formation)""}",1
Faménnien,1
Valang.-Hauterivian,1
L. Purbeckian,1
"Albian, Campanian",1
Frasnien-Fammenien,1
PLEISTOCENE AND RECENT,1
APTIAN; NEOCOMIAN,1
Wisconsin (Vashon) ?,1
Valaginian,1
Late Cretaceous (Santonian),1
Early Cretaceous (early Albian),1
New Scotland Ls,1
LYSTROSAURUS ASSEMBLAGE ZONE,1
maastrichtian,1
Mississipian,1
Valendis,1
RANIKOT,1
Arkidelphia,1
Pennsylvanian (Namurian C),1
Raiblian,1
Lower Virgilian,1
"{ ""geologicAge"" : ""Miocene (Ravenscrag Fm.)""}",1
Pushgillian,1
Late Silurian,1
Orleanian?,1
"T. oestrupii Subzone (NPD7Bb of Yanagisawa&Akiba, 1998)",1
T,1
"{ ""geologicAge"" : ""Eocene, mid-late""}",1
Late Ordovician (Maysvillian or Richmondian),1
Pennsylvanian (L Missourian),1
prob. Santonian,1
"{ ""geologicAge"" : ""Tertiary, Pliocene, Middle (Chalk Butte Formation)""}",1
CARNIAN-NORIAN,1
"{ ""geologicAge"" : ""Cretaceous (Oldman Formation; Pakowki Formation; Foremost Formation)""}",1
"{ ""geologicAge"" : ""Pennsylvanian, basal Stephanian (Lloyd Cove Seam)""}",1
"Cenomanian, Turonian",1
N 22,1
Uppermost Emsian?,1
"{ ""geologicAge"" : ""Cretaceous, Campanian (Bearpaw Formation; Edmonton Formation)""}",1
Missoourian/Virgilian Boundary?,1
Flandrian,1
Late Mississippian (Visean),1
Upper Kimmeridgian,1
Burdigalien - Langhien,1
Homérien,1
Blancan?,1
Southwood,1
Middle Mississippian (Meramecian-early Chesterian) (Visean),1
LATE CAMPANIAN,1
Namurian B?,1
Alleghanian,1
Lower Planer,1
Santonien?,1
"{ ""geologicAge"" : ""Miocene, mid (Etadunna Formation)""}",1
Langhian/Servavallian,1
Upper Albian - Lower Cenomanian,1
Tiouchiogan,1
Patagonien,1
early Permian (Kungurian),1
"{ ""geologicAge"" : ""Cretaceous, Late; Campanian; Cenomanian (Exposed section bank about 10 metres in length, 2 metres ab""}",1
Earliest Miocene,1
Middle Westphalian A,1
Oligocene (late Rupelian?-early Chattian?),1
Coniacian-Santonian?,1
"{ ""geologicAge"" : ""Cretaceous, Albian, Campanian (Colorado Group; Lea Park Formation; Foremost Formation)""}",1
"{ ""geologicAge"" : ""Ordovician, Lower (Beekmantown Formation; Oxfordian and/or March Units)""}",1
Riescoian,1
Llanvirien,1
ASTIAN,1
Lower Toarcian,1
Middle Wasatchian,1
"{ ""geologicAge"" : ""Tertiary, Oligocene; Miocene (Little Butte Volcanic Series)""}",1
Duntroonien,1
MIDDLE-LATE FAMENNIAN,1
middle late Carnian,1
Late Cenomanian to Early Turonian,1
"{ ""geologicAge"" : ""4010 B.P. (present=A.D. 1950)""}",1
M. OLIGOCENE,1
Paragian,1
L. Llandeilian,1
BLANCAN ii,1
Icenian,1
U. Zemorrian,1
late middle Oligocene,1
Prikarnian,1
Late Cretaceous (Neocomian),1
"{ ""geologicAge"" : ""Tertiary, Middle Paleocene, Middle Eocene (Eureka Sound Group; Iceberg Bay Formation; Eureka Sound Formation, Member IV)""}",1
Biharian,1
"{ ""geologicAge"" : ""Cretaceous, Lower (Isachsen Formation)""}",1
Puercan 3,1
WEALDIAN,1
Bridgerian NALMA,1
Albian - ealry Cenomanian,1
ARSHANTAN,1
Turonian - Scaphites warreni zone,1
LATE MAASTRICHTHIAN,1
VALANGINIAN,1
Permien,1
Pennsylvanian-Des Moines age ?,1
Archean,1
"{ ""geologicAge"" : ""A.D. 350-1000""}",1
turonian,1
PURBECKO-WEALDIEN,1
Lujanian?,1
Bosphorian,1
Middle-Late Jurassic (Callovian-Oxfordian),1
Argocian,1
Sandcouleean,1
Sakmarien-Wuchiapingien,1
Santonian & Campanian,1
"{ ""geologicAge"" : ""Cretaceous, Campanian (Two Medicine Formation)""}",1
"{ ""geologicAge"" : ""Tertiary, Miocene, Late (Trout Creek Formation)""}",1
Maastrichtian - Lancian,1
"{ ""geologicAge"" : ""Cretaceous; Tertiary (Kanguk Formation; Eureka Sound Formation)""}",1
"Late Ordovician, base of",1
EARLY LATE TO LATE ARIKAREEAN,1
Induen,1
Adamanian,1
EARLY HEMPHILLIAN,1
middle & late Oligocene,1
Early Miocene?,1
Cénomanien-Eocène inférieur,1
"{ ""geologicAge"" : ""Cretaceous; Tertiary (Saurian Bed; Waipara Greensands)""}",1
Early Norian,1
early Albian,1
"{ ""geologicAge"" : ""Late Cretaceous; Cenomanian (Ashville formation; Belle Fourche Member)""}",1
Late Cretaceous (Montanan),1
Blancan III,1
Middle Anisian,1
late Early Arikareean,1
late Oxfordian,1
"{ ""geologicAge"" : ""Cretaceous, Maastrichtian; Tertiary""}",1
Trias moyen,1
CLARKFORKIAN?,1
Lower Santonian,1
Cantabrian,1
Pakerort,1
Frasnian?,1
Saxonian,1
Early Jurassic (Lias),1
Late Paleocene / Wilcoxian,1
Marplatan,1
early Middle Miocene,1
Wasatchian/?,1
Torrejonian Dragonian,1
"{ ""geologicAge"" : ""Tertiary, Eocene (Clarno Formation)""}",1
N. 8,1
Tiffanian NALMA,1
Llandverian,1
"{ ""geologicAge"" : ""Cretaceous, Campanian, Maastrichtian (Difunta Group, Cerro del Pueblo Formation)""}",1
Rauracian (Oxfordian),1
Kushanian,1
"Santonian, Maastrichtian",1
"{ ""geologicAge"" : ""Paleocene (Ravenscrag Fm.)""}",1
Priabolian,1
middle Tortonian,1
Late Clarkforkian,1
Messinien-Tortonien,1
Maastrich.-Danian,1
C. nicobarica Zone,1
*Stephanian,1
"{ ""geologicAge"" : ""Tertiary, Oligocene (John Day Formation)""}",1
Late Cretaceous (middle Cenomanian),1
"{ ""geologicAge"" : ""Eocene (Eureka Sound Group; Beaufort Formation; Buchanan Formation)""}",1
"{ ""geologicAge"" : ""Eocene; Oligocene (Lignite deposits overlying bauxite)""}",1
Early Kansan?,1
Saucesian-Relizian,1
RANCHOLABREAN? OR IRVINGTONIAN?,1
Late Mississippian (Meramecian),1
Purbeckian Age,1
"LATE WASATCHIAN; ""LOSTCABINIAN""",1
L. Turonian,1
"{ ""geologicAge"" : ""Pliocene (Lachlan Formation)""}",1
Franconian Age,1
Tenerifian,1
late Albian (?),1
Daptocephalus Zone,1
"{ ""geologicAge"" : ""Eocene, middle (Buchanan Lake Formation; Eureka Sound Group)""}",1
Early Middle,1
EARLIER VILLAFRANCHIAN,1
"{ ""geologicAge"" : ""Cretaceous; Maastrichtian (Lance Formation)""}",1
Word,1
"{ ""geologicAge"" : ""Holocene""}",1
Vracconian,1
Upper Coblencian,1
Albian or Cenomanian,1
"Mississippian, Osag",1
Late Triassic (Rhaetian)-Middle Jurassic (Aalenian),1
Early to Middle Pliocene,1
Maastrichtian-Baculites grandis Zone,1
"Anisian, Ladinian",1
Late Devonian (Frasnian)?,1
Upper Missoruian,1
"{ ""geologicAge"" : ""Miocene; Pleistocene""}",1
Serravallian?,1
Early Kazanian,1
Duchnesnean to early Chadronian,1
CAMPANIAN-MAASTRICHTIAN,1
Devonian (Famennian),1
"{ ""geologicAge"" : ""Cretaceous, early""}",1
Middle Mississippian (Meramecian) (Valmeyerian),1
late Middle ?,1
upper Albian or lower Cenomanian,1
early Eocene (Ypresian),1
"{ ""geologicAge"" : ""Cretaceous (Scollard Formation)""}",1
"{ ""geologicAge"" : ""Permian (Wellington Formation)""}",1
late Middle Triassic,1
Eifeliien?,1
Oxfordian to Hauterivian,1
MOHAWIAN,1
Robiacian-Headonian,1
Sandbian-Hirnantian,1
Washitan,1
Awamoan,1
Viséen?,1
Pennsylvanian (Desmoinesian),1
"{ ""geologicAge"" : ""Pliocene (Cowra Formation; Lachlan Formation)""}",1
"{ ""geologicAge"" : ""Cretaceous (Lower Edmonton Fm.)""}",1
5B of Akiba (1986),1
Middle Cretaceous,1
middle Pliocene,1
Maastrictian?,1
Late Triassic (Newark Series),1
MERAMECIAN,1
N22 of Blow (1969) and A.oculatus & R. curvirostris Zone of Koizumi (1985),1
Harounian,1
Lutetien?,1
"{ ""geologicAge"" : ""Cretaceous (Clarno Basin)""}",1
Middle Jurassic (early Callovian),1
Lower Chesterian,1
Upper Middle Jurassic,1
"{ ""geologicAge"" : ""Pliocene, Miocene, Oligocene, Eocene (Bore Hay I)""}",1
Late Llandovery (or early Wenlock),1
Turonian~Campanian,1
Serravalien,1
Late-Pliocene,1
-,1
"{ ""geologicAge"" : ""Cretaceous, Late: Cenomanian""}",1
Late Ordovician (Maysvillian and Richmondian),1
"{ ""geologicAge"" : ""Eocene (Green R. Fm.)""}",1
late Rhaetian,1
"{ ""geologicAge"" : ""Devonian (lower - F1)""}",1
"{ ""geologicAge"" : ""Tertiary, Oligocene (White River Formation)""}",1
"{ ""geologicAge"" : ""Tertiary, Oligocene; Miocene, Early (John Day Formation)""}",1
Gorstian-Pragian,1
Tithonien-Berriasien,1
"{ ""geologicAge"" : ""Tertiary, Miocene (Sucker Creek Formation)""}",1
Ellenburger,1
"{ ""geologicAge"" : ""Devonian, Middle (La Garde Formation)""}",1
Middle-Late Jurassic (early Callovian-early Oxfordian),1
"{ ""geologicAge"" : ""Devonian, Upper, Lower Frasnian""}",1
Mid Cenomanian,1
Neocomiano,1
Yprésien?,1
Valmeryeran,1
"{ ""geologicAge"" : ""Cretaceous; Tertiary (Pretty Butte Member)""}",1
late Lutetian - early Bartonian,1
Pleinsbachian,1
Olénékien,1
Voznesenian,1
YPRESIAN-THANETIAN,1
Callovian Age,1
"{ ""geologicAge"" : ""Cretaceous, Campanian (Bearpaw Formation)""}",1
Early Mississippian (Osagean) (late Tournaisian),1
"{ ""geologicAge"" : ""Cretaceous, Maastrichtian (White Chalk)""}",1
Middle Niagaran,1
Devonian (Namurian),1
IRVINGTONIAN I ?,1
"{ ""geologicAge"" : ""1000 ybp""}",1
Berriasian-Hauterivian,1
Wilcoxien,1
CN5a and N.10,1
Late Cretaceous (Turonian-Maastrichtian),1
Upper Bathonian,1
"Thalassiosira oestrupii Subzone (Chieko Shimada, 2012.07.04)",1
late Bartonian?,1
Asselien - Roadien,1
"{ ""geologicAge"" : ""Cretaceous (Frenchman Formation)""}",1
eaarly Cenomanian,1
Upper Richmondian,1
Hauterivian to Barremian?,1
late Albian-Cenomanian,1
Burdigalien - Serravallien,1
EIFELIAN,1
Couvinian U Age,1
Baventian,1
Upper Planer,1
Albian-Turonian,1
Camp.-Maastrichtian,1
NEOLITHIC,1
Tongrien,1
"Coniacian, Turonian",1
"{ ""geologicAge"" : ""Cretaceous, Lower (Perth Basin; Kings Park Shale; Kings Park Formation)""}",1
Uppermost Chesterian,1
UPPER CLARKFORKIAN,1
Danien-Sélandien,1
Aptian?,1
Earlyt,1
"{ ""geologicAge"" : ""37200 BP""}",1
?early Norian,1
Rhyacian,1
Santonian-Maestrichtian,1
Illinoian,1
Langhien : ?,1
"{ ""geologicAge"" : ""Cretaceous (Dakota Group)""}",1
Upper Champlainian,1
BRIDGERIAN?,1
Helderberg Grp,1
"Santonian, Cenomanian",1
"Mississipian, Meremacian",1
"{ ""geologicAge"" : ""Pennsylvanian, middle Westphalian D (Linopteris obliqua Zone, sensu Zodrow, 1986)""}",1
"{ ""geologicAge"" : ""Cretaceous, Maastrichtian (Whitemud Formation, Type facies)""}",1
Finis Shale Member,1
Wuchiapingien,1
LATE HEMINGFORDIAN OR EARLY BARSTOVIAN,1
"{ ""geologicAge"" : ""Cretaceous, Albian, Comanchean Series (Walnut and Antlers sediments of Fredericksburgian Stage)""}",1
"{ ""geologicAge"" : ""Cretaceous; Tertiary (Kanguk Formation, lower part)""}",1
Baltian,1
"{ ""geologicAge"" : ""Eocene (Klondike Mtn. Fm.)""}",1
Late Cretaceous (Coniacian),1
"Turonian, Campanian",1
Early Visean,1
Carixian,1
Lanarkian,1
LATE LADINIAN,1
Puercan Mantuan,1
Lower Devonian (Siegenian),1
"{ ""geologicAge"" : ""Permian, Lower""}",1
Late Ordovician (Caradocian),1
"Turonian, Cenomanian",1
ILLINOIAN,1
*Stephanian A,1
EARLIEST VILLAFRANCHIAN,1
lias,1
Upper Silurian,1
Lutetian?,1
POST-WISCONSINAN,1
Montezuman,257
MP 22,257
Callovien,3585
Llandovery,5121
"Cretaceous, Santonian",2
Lysitean?,2
"{ ""geologicAge"" : ""Miocene, Middle (Yakima Basalts)""}",2
BRUXELLIAN,2
LATE WASATCHIAN OR EARLY BRIDGERIAN,2
Cincinnatian Age,2
Rocanéen,2
Late-Serravallian,2
Cenomanian-Campanian,2
Reinbekien,2
Kimmeridgian Age,2
Middle Jurassic (Aalenian-Bajocian),2
Early Upper Devonian,2
Barstovian?,2
Albian-Cenomanian,2
CUISIAN TO AUVERSIAN,2
Albien?,2
Bathonien?,2
Whitbian,2
Upper Siegenian,2
SANTACRUZIAN,2
Banien,2
Lower Katian,2
CLAIBORNIAN,2
early Emsian,2
Capitan,2
oolite,2
Mayoan,2
"{ ""geologicAge"" : ""Tertiary, Oligocene; Miocene (John Day Formation)""}",2
EARLIEST UINTAN,2
Shikhanian,2
Stéphanien?,2
indet.,2
Clairbonien,2
Arisian,2
Murravian,2
Burdigalian or Langhian,2
MIOCENE?,2
Late Jurassic (Kimmeridgian),2
Rhaetic,2
early middle,2
B.b. VI,2
Thanetien,2
Middle Jurassic (middle Callovian),2
Ohauan,2
Early Cretaceous (Aptian-Albian),2
3,2
Lusitanien,2
PLIO-PLEISTOCENE,2
Uralian,2
Late Cretaceous (Cenomanian),2
Late Jurassic (Oxfordian),2
"{ ""geologicAge"" : ""Pennsylvanian (Verdigris Formation)""}",2
Senonian?,2
Huronien,2
Gedgravien,2
Albian?,2
KIMMERIDGIAN-TITHONIAN,2
Haweran,2
PlEISTOCENE,2
Rupélien-Aquitanien,2
Praguien-Frasnien,2
"{ ""geologicAge"" : ""Pennsylvanian, Early (Allegheny Series, Dugger Formation)""}",2
Mangaorapan,2
Virgilian & Gearyan,2
Franconian?,2
Gélasien,2
Miiddle Eocene,2
Aftonian,2
Upper Caradocian,2
Early Pleistocene (Ludhamian),2
Divisaderan,2
possibly Aptian,2
"{ ""geologicAge"" : ""Eocene; Eureka Sound Group; Beaufort Formation; Buchanan Formation""}",2
early Aptian,2
"Mississipian, Chesterian",2
Late Ediacaran,2
Desmoinesian - Virgilian,2
Bradfordian,2
Karpatian,2
"{ ""geologicAge"" : ""Carboniferous (Virgilian)""}",2
"{ ""geologicAge"" : ""Permian, Upper""}",2
WASATCHIAN; EARLY LOSTCABINIAN (?),2
TOARCIAN,2
Late Cambrian (Tremadocian),2
Dienerien/ Smithien,2
"Campanian, Turonian",2
D4 Member,2
Senarian,2
EARLY? VILLAFRANCHIAN,2
Oligocène supérieur,2
lower Upper Devonian (Frasnian),2
Cretaceous (Aptian - Cyclosporites subzone),2
ROGNACIAN,2
Potsdamian,2
late Bathonian,2
Woolstonian,2
"Turonian, Maastrichtian",2
Rupelian-Chattian,2
Late Cambrian (Dresbachian),2
Albian/Cenomanian?,2
lowest Cenomanian,2
"{ ""geologicAge"" : ""Miocene""}",2
C.c.II,2
Janjukien,2
Lower Eocene,2
"{ ""geologicAge"" : ""Cretaceous; Tertiary""}",2
Early Early,2
Meremacian,2
"{ ""geologicAge"" : ""Tertiary, Miocene, Middle""}",2
Middle Jurassic (Callovian),2
MIDDLE CHESTERIAN,2
Westphalian A?,2
Bartonian?,2
ROBIACIAN,2
Croixan,2
L. Arenigian,2
Famennian Stage,2
Ludfordien,2
Callovien?,2
Cuisian? Ypresian?,2
Late Devonian (Famennian?),2
APTIAN; GARGASIAN,2
CN4/5a of Okada and Bukry (1980),2
Campanien-Santonien,2
MIDDLE CAMPANIAN,2
Barrémien?,2
Peligran,2
Upper Westphalian,2
Heretaungan,2
"Carnian, Norian",2
Upper Mahonian,2
"Pennsylvanian, Descoinesian",2
Bashkirien-Moscovien,2
Canadensis,2
Zemmorian,2
Early Severodvinian,2
Rhaetian Age,2
SANNOSIAN,2
Atalaense,2
SAXONIAN,2
"Chattian, Rupelian",2
Matapedia Series,2
Late Middle Pliocene,2
"{ ""geologicAge"" : ""Pennsylvanian (Pottsville Series, Brazil Formation)""}",2
Upper Valentian,2
LATE HEMPHILLIAN,2
C.c.III,2
Soissonian,2
Turonian and Senonian,2
L. Maastrichtian,2
Ordovicien,2
"Albian, Aptian",2
"{ ""geologicAge"" : ""Cretaceous, Campanian, Maastrichtian""}",2
Langian or Serravallian,2
"Famennian, do V",2
Middle Purbeckian,2
Toarcien-Aalénien,2
Late Necomian,2
Des Moinesian,2
Daptocephalus zone,2
Melbournian,2
BLACKRIVERIAN,2
AFTONIAN OF HAY,2
Pennsylvanian-Virgilian,2
Upper Neocomien,2
late Campanian - Maastrichtian,2
Paleoarchean,2
*Westphalian D,2
Upper Atokan,2
Ipswichian,2
Middle Tournaisian,2
Ergilian,2
LATE WESPHALIAN B,2
early Rhaetian,2
Couvinian Stage,2
Lutétien?,2
Serravalien-Langhien,2
WASATCHIAN; BRIDGERIAN,2
early late Tiffanian,2
Middle Jurassic (late Bajocian-early Callovian),2
Wordien,2
Virgilian-Gearyan,2
Early-Middle Jurassic (Toarcian-Aalenian),2
Lower Bathonian,2
Campanian to Maastrichtian,2
B.b. II,2
Late Visean,2
Lower Norian,2
Eifélien-Famennien,2
Sannoisian,2
Famennien-Tournaisien,2
Oligocene(?),2
Late Vyatkian,2
WASATCHIAN/BRIDGERIAN,2
Haumurien,2
LATEST UINTAN,2
"{ ""geologicAge"" : ""Tertiary, Miocene""}",2
Bathonian Age,2
upper middle Miocene,2
Rédonien,2
upper Albian - lower Cenomanian,2
lowest middle,2
L. Ashgillian (Kravodvorian),2
Ffestiniogian,2
Portaferian,2
Capitanien,2
Lujanense,2
Roadien,2
"{ ""geologicAge"" : ""Cretaceous (St. Mary River Fm.)""}",2
Bendigorian,2
Lower Devonian (Eifel),2
Aalénien - Bajocien,2
"{ ""geologicAge"" : ""Jurassic, Lower""}",2
Llanvirnien,2
Coniacien-Turonien,2
Early Pennsylvanian (Morrowan),2
Plaisancian (=early),2
early-middle Miocene (Burdigalian-Langhian),2
Late Tortonian,2
Huayquerian?,2
Mioceno,2
"{ ""geologicAge"" : ""Tertiary, Miocene (Brandon Lignite)""}",2
Mesoproterozoic,2
Gallic,2
Bartonien-Priabonien,2
"{ ""geologicAge"" : ""Cretaceous (Luscar Fm.)""}",2
Kuzel,2
PONTIAN,2
Pennsylvanian (Des Moines Series),2
Sakian,770
Late Torrejonian,1026
Upper Mississippian,1026
Oxfordian,10754
Francis Creek Sh Mbr,3
"Mississippian, Chesterian",3
Bartonien?,3
Euronian,3
"{ ""geologicAge"" : ""Tertiary, Eocene, Middle (Claiborne Formation)""}",3
Valanginian?,3
Autunien,3
Upper Plauen,3
Batesfordian,3
Late Severodvinian,3
Rhétien-Hettangien,3
STEPHANIAN,3
Pu1,3
Tortonian-Sarmatian,3
late Chadronian-Orellan,3
TIFFANIAN?,3
MOUSTERIAN,3
Eocene (Claibornian),3
Late Cretaceous (Cenomanian-Turonian),3
RUPELIAN,3
Middle-Pleistocene,3
Mustersense,3
LATE BRIDGERIAN TO EARLY UINTAN,3
Late Mississippian (Valmeyeran),3
"Campanian, Santonian",3
Wolfcampian?,3
Early Arikareean,3
Lenonian,3
Late Devonian (Famennian) or Early Mississippian (Kinderhookian),3
Bathonian?,3
Middle to Late,3
Late Saucesian,3
Sinemurian Age,3
Bérriasien,3
Skiddavian,3
Twinbuttean,3
Latest Clarkforkian,3
late Hettangian,3
Turonian or Coniacian,3
Coniacian to Campanian,3
Changxingian,3
"{ ""geologicAge"" : ""Tertiary, Eocene (Green River Formation)""}",3
Lutetican,3
Lochovian,3
Refugia,3
"{ ""geologicAge"" : ""Tertiary""}",3
Early Late Campanian,3
STAMPIAN?,3
