language,reps
,1187580249
#REF!,1075
"(1)Bambara, (2) Mooré",1
",",8
", American Mus. Nat. H",13
", Britton",1
", Budongo Forest Proje",427
", Denis",298
", Frontier-Uganda",647
", Hans",165
", Moses",38
", Nabert",152
", Natural History Muse",8
", Natureuganda",34
", QENPBO",480
", Ross",154
", Thorn & Kerbis (pub)",225
", Timothy",65
", Uganda Forest Depart",3118
", Uganda Wetlands Prog",96
", Zoology Museum",98
0,2
"A, Byaruhanga",2925
"A, Din",3
"A, Forbes-Watson",458
"A, Honeywell",121
"A, Kasangaki",6
"A, Katende",4
"A, Twinomujuni",211
"AJ, Dijksen",3
Adult,3
"B, Fisher",8
BLM,1
Bambara,6
Betsimisaraka,1
Bombo,1
"C, Dranzoa",177
"C, Kabusasi",1496
"C, McParland",3
"C, Smith",2
"C, Williams",11980
"CA, Chapman",1
CN,279
Chinese,2
Cleared and Stained Specimen,20
Corisian,1
Cuban,1
"D, Baineomugisha",278
"D, Brass",2
"D, Butchart",24
"D, Muhumuza",412
"D, Scott",439
"D, Sivell",1
"D, Willard",137
DE,208
"DE, Pomeroy",5528
Danish,2
Deutsch,1
Diola,2
Dioula,2
Dried Shell,1
Dried Specimen,105
Dutch,1
Dutch & English,1
E,3
"E, Abe",214
"E, Sande",310
EN,397178
EN-GB,42517
EPSG:4326,145
ES,39763
ESP,300
En,864494
Englisg,1
English,2328228
English (CAN),166
English (USA),3959
English and German,3
English and Spanish,1
"English, Chinese",238760
English/Japanese,1
Englishs,2
Es,1969461
España,5
FR,9239
Finnish,12
Finnish & English,1
Finnish [assumed],1
Finnish and Latin,1
Finnish?,1
Fluid Preserved,83
"Fluid Spcecimen, Tissue",1
"Fluid Spcimen, Tissue",1
Fluid Specimen,25920
"Fluid Specimen, Tissue",12615
Fluid Specimen; Tissue,49
Fluid Speicimen,1
Fluid Speicmen,22
Fluid specimen,9
"Fluid specimen, Tissue",2
Francais,12
Français,1
French,806
"GM, Robertson",48
"GR, Wright",17
German,275
"H, Bewes",144
"H, Meltofte",36
"H, Mugabe",3828
"H, Osmaston",289
"H, Rainey",67
"HJ, Rainey",62
"HM, Robner",4
Havu,3
"I, Francis",2356
"I, Owiunzi",354
"I, Robertson",238
Italian,4
"J, Andiandu",7
"J, Arinaitwe",772
"J, Ash",73
"J, Baguma",174
"J, Kalina",3
"J, Lindsell",414
"J, McCoy",85
"J, Omoding",34
"J, Stevenson",1
"JC, Kerbis",63
"JD, Goodman",63
"JD, Pye",10
"JD, Rossouw",9
"JF, Walsh",1482
Japanese,1
Japanese and English,1
"K, Barnes",1
"KD, Dijkstra",59
"KG, Kalibakate",140
Kibemba,18
Kibembe,7
"Kibembe, Kinyanga",1
Kibira,1
Kibuyu,2
Kifulero,1
Kihavu,18
"Kihavu, Kirega",1
Kihunde,2
Kikusu,1
Kilega,1
Kimbuti,2
Kinande,3
"Kinande , Kinyanga",1
"Kinande , et Kinyanga",1
"Kinande, Kinyanga",3
Kinano,1
Kindande,8
"Kindande, Kingwana",1
Kingwana,9
"Kingwana,",1
"Kingwana, Kirega, Kitembo",1
Kinyamulenge,1
Kinyanga,38
"Kinyanga,  Kirega",1
"Kinyanga, Kirega",3
"Kinyanga, Kitembo",2
Kinyaruanda,964
Kinyarwanda,17
Kinyindu,1
Kinyundu,1
Kipili,1
Kirega,144
"Kirega , Kitembo",2
Kirega et Kitembo,1
"Kirega, Kihavu",1
"Kirega, Kinyanga",2
"Kirega, Kitembo",8
"Kirega, Kitembo, et Shi",1
"Kirega, Mashi",1
Kirenga,3
Kirundi,19
Kisanga,1
"Kisanga, Kiswahili",1
Kiswahili,1
Kitemba,1
Kitembo,832
"Kitembo  , Kirega",1
Kitembo  et Kirega,2
"Kitembo , Mashi",1
Kitembo et Kirega,1
"Kitembo, Kingwana",1
"Kitembo, Kinyanga",2
"Kitembo, Kirega",10
"Kitembo, Kirega, Kinyanga",1
"Kitembo, Shi",1
Kivira et Fuliru,1
Korean,1
"L, Christiansen",357
"L, Fishpool",197
"L, Stubblefield",259
Latin,1114
Latin and Russian,1
Latin; Danish,1
Latin; Finnish,1
Latin; Russian,1
Latin; Swedish,3
Latvian,1
Lleida,2
Lokelé,1
Lontomba,1
"M, Behangana",115
"M, Carswell",2906
"M, Coverdale",754
"M, Nakibuka",41
"M, Wilson",377
MASHI,2
"MJ, Wigginton",406
Maashi,1
Male,2
Mashi,80
Mashi et Kirega,1
"Mashi, Kitembo, Kinyarwanda",1
"Mashi,Kitembo",1
Mbaka,1
Mike Hopkins,1
Mooré,2
Moré,2
Moré de Ouahigouya,1
Mwama,1
"N, Seavey",30
Norwegian,11
Nyamulenge,8
"Nyindu, Nyamulenge",1
"O, Baguma",73
"O, Nasirwa",40
Other Language,1
"P, Akite",1200
"P, Mwima",614
"P, Weeks",417
"PL, Miller",59
"PMB, Kasoma",149
PT,67
Peulh,2
Polish,1
Port,1
Portugese,17
Portuguese,9300
"R, Kanoti",80
"R, Kityo",2210
"R, Matthews",35
"R, Semmanda",4129
RU,1767
Romanian,1
Russian,1838
Russian ?,1
Russian [?],1
"S, Ampeirwe",436
"S, Grove",161
"S, Webb",1
SP,865
Shi,329
"Shi, Kifuliru",1
"Shi, Kitembo",3
"Shi, Swahili",1
Skeletal,17
Skeletal Specimen,462
"Skeletal Specimen, Dried Specimen",4
"Skeletal Specimen, Fluid Specimen",4
"Skeletal Specimen, Fluid Specimen, Cleared and Stained Specimen, Tissue",1
"Skeletal Specimen, Tanned Specimen",1
"Skeletal Specimen, Tissue",21
Skeletal specimen,6
Songhoï,1
Sp,1
Spanish,6837
Swahili,4
Swahili et Francais,3
Swedish,73322065
"T, Butynski",20
"T, Graves",15
"T, Kuske",1
"T, Otim",167
"T, Potterton",1
"T, Stones",35
"TP, Gnoske",282
Tamacheque,1
Tamateque,1
Taxidermied Specimen,3
Tissue,3
USA,1
Various,72185
"WT, Stanley",48
`,13
an,74
bambara,3
br,388
bs,7
ca,2332
cat,27286
cr,1
cs; la,1
da,812666
de,2730
deu,105
dk,1
e,1
