lifestage,reps
,1322711030
5 pupae / 3 pupae,1
" 5 pupae, 1 larvae / 7 pupae, 7 larvae",1
! F chick banded. 1/2 had a smal,1
"""""""Egg, 1mm""""""",9
"""""""Furcilia I, 5 mm""""""",7
"""""""Furcilia II, 6-7 mm""""""",2
"""""""Juvenile , 1-2 mm""""""",1
"""""""Juvenile, 2-3 mm""""""",3
"""""""Juvenille, 1-2 mm""""""",10
"""""""Larvae, 1.5mm""""""",2
"""""""Larvae, 13 mm""""""",9
"""""""Larvae, 4-5 mm""""""",9
"""""""Larvae, 5-6 mm""""""",2
"""""""Larvae, 6-7 mm""""""",1
"""""""Larvae, 7-8 mm""""""",1
"""""""Larvae, 8-9 mm""""""",1
"""""""Larvae, 9-10 mm""""""",2
"""""""Larvae,12 mm""""""",2
"""""""egg, 1mm""""""",29
"""1 Adulto, 1 juvenil""",3
"""1 Adulto, 2 juveniles""",2
"""1 Adulto, 3 polluelos""",1
"""1 Adulto, 4 polluelos""",1
"""1 Adulto, 6 polluelos""",1
"""1 Adulto, 8 polluelos""",1
"""1 Adulto, 9 polluelos""",1
"""2 Adultos, 1 polluelo""",1
"""3 Adultos, 4 juveniles""",1
"""3 Adultos, 5 juveniles""",1
"""4 Adultos, 3 juveniles""",1
"""5/6 j"" (5-6 days)",1
"""51 Adultos, 2 Juveniles, 2 polluelos""",1
"""6 Adultos, 3 polluelos""",1
"""Adulto; Juvenil""",1
"""Early velasia""",1
"""Few incubated"" (? Few days)",1
"""Fresh enough to blow""",1
"""Fresh to one""",1
"""Known"" 8 days",1
"""Larva (larval vitelino, Preflexión)""",9
"""Larva (preflexión, flexión)""",9
"""Larva (preflexión, postflexión)""",8
"""New""",1
"""Piped"" ""Hatching""",1
"""S2""",1
"""TYPE""",1
"""a few incubated"" (? few days)",1
"""about 5 Days In All""",1
"""couves""",1
"""eggs, stage 1""",1
"""eggs, stages 1,3,4""",1
"""eggs, stages 1,3,4,5""",1
"""eggs, stages 2,3,4""",1
"""eggs, stages 2,3,4,5""",2
"""eggs, stages 2,3,5""",1
"""eggs, stages 2,4""",2
"""immature"" on tag; Adult",1
"""just sat on""",1
"""juv""",3
"""juv. By plumage""",1
"""no incubation""",1
"""prejuvenile""",3
"""slightly inc""",1
"""slightly""",1
"""small""",1
"""started""",1
"""very wave""",1
"""y. of y.""",1
"#'s 1,2,4,5 and 6 small embryos,",1
"#'s1,2,4 Showing blood, #3 fresh",1
"#1 & #2: Large embryo, #3: Small",1
"#1 & #3 Medium embryos, #2 Infer",1
"#1 Addled, #2 Large Embryo",1
"#1 Fresh, #2 Developed Embryo",1
"#1 Fresh, #3, 4, 5 Very slight t",1
"#1 Infertile, #2 infertile, #3 s",1
#1 Large embryo; #2 Infertile,1
"#1 No inc, #2 No yolk. Nest cont",1
#1 Tetrasporic. #2 Cystocarpic,1
#1 and #2: trace of blood; #3: v,1
"#1 broke in nest, fragments only",1
"#1 broke in nest, fragments; #2",1
#1 eyes formed; #2 small embryo,1
"#1 fresh, #2 & 3 showing blood",1
"#1 fresh, #2 large embryo",2
"#1 fresh, #2 showing blood",2
"#1 fresh, #2,3 trace of blood",1
"#1 fresh, 2,3 &4 Full grown",1
#1 fresh; #2 showing blood,1
#1 infertile #2 embryo,1
"#1 infertile, fragments; #2 crus",1
"#1 large embryo, #2 infertile, #",1
#1 medium embryo; #2 small embry,1
"#1&2 fresh, #3 trace of blood",1
"#1&2 small embryo, #3 fresh",1
"#1, #2, #3, #4: fresh",1
"#1, fragments only, eggshell thi",1
"#1,2,5: fresh, #3,4,6: trace",1
"#1,3 Slight trace of blood, #2,4",1
"#1,3,4,6,7,8 Fresh, #2,5 Slight",1
"#1,3,5,6,7 Fresh, #2,4 Slight tr",1
"#1,4 Slight trace of blood, #2,3",1
"#1,4 fresh; #2,3 trace of blood",1
"#1- rotten, #2- no inc, 1 young",1
"#1-3 Large Embryos, #4 Infertile",1
#1-3 trace of blood; #4 fresh,1
"#1-slight, #2-slight, 3#-small-m",1
#11; eggshell fragments collecte,1
"#120,121,122 Hatched, #123 Infer",1
"#14 fragments only, eggshell thi",1
"#15, fragments only, eggshell th",1
#15; eggshell fragments from 1-2,1
#16; eggshell fragments collecte,1
"#17, fragments only, eggshell th",1
#17; hatched eggshell fragments;,1
#18; eggshell fragments from one,1
#19; eggshell fragments from one,1
#1: 1.640g (medium); #2: 1.617g,1
#1: Large embryo. #2 Not recorde,1
"#1: No inc., #2: Small embryo. N",1
"#1: almost fresh, #2: slightly,",1
#1: fresh; #s 2 & 3: trace (show,1
#1: fully formed chick #2: Large,1
"#1: medium embryo, #2: fresh, #3",1
#1: showing blood; #2: small emb,1
#1: small eyeballs; #2 & 4: tiny,1
#1: very small embryo; # 2 & 3:,1
"#1:embryo ~ 5mm, #2: clear",1
#1; eggshell fragment,1
"#1large embryo, 2 and not record",1
"#1large embryo, 2,3,4,5,6,7 and",1
"#1medium embryo, 2 and 3 small e",1
"#1small embryo, 2 and 3 not reco",1
"#2 Fresh, #1 Slight Traace of bl",1
"#2 Fresh, #1,3 Slight trace of b",1
"#2 Fresh, #3 Slight trace of blo",1
"#2 Fresh, #4 Slight trace of blo",1
#2 Large embryo,1
"#2 Slight trace of blood, #1 Tra",1
"#2 Trace of blood, #1, 6 Very sm",1
#20; about 25 feet high on rock,1
#21; eggshell fragment collected,1
#27; whole egg collected that ha,1
#28; whole egg; broken after col,1
#2: Fresh; #3: Slight Trace Of B,1
"#3, 6 Fresh, #4 Slight trace of",1
#3; eggshell fragments of two eg,1
"#5, fragments only, eggshell thi",1
"#57 fragments only, eggshell thi",1
#5; eggshell fragments collected,1
"#6 Fresh, #4, 5 Slight trace of",1
"#6 Slight trace of blood, #3 Tra",1
"#60, fragments only, eggshell th",1
"#61 fragments only, eggshell thi",1
"#65, fragments only, eggshell th",1
"#66, fragments only, eggshell th",1
"#67 fragments only, eggshell thi",1
#6; eggshell fragments collected,1
"#7, fragments only, eggshell thi",1
#7; fragments from three sites w,1
#8 water checked,1
"#84 fragments only, eggshell thi",1
"#86 Hatched,#88 Hatched,#87 Died",1
#8; eggshell fragments collected,1
"#9 Addled, #10 Hatched",1
"#9 fragments only, eggshell thic",1
"#91, fragments only, eggshell th",1
"#94, fragments only, 1 egg, eggs",1
#REF!,4
&,5
,1
check',2
n/a,1
nearly adult',1
"(0, I)",35
"(0, I, II)",2
"(0, I, II, III)",4
"(0, I, III)",1
"(0, II, III)",1
(1 broken) Fresh,1
(1 yr.),1
(1) day old,1
(10) days,1
(10) days old,1
(11-12) days,1
(12) days old,2
(13) days old,2
(16) days old,1
(19) days old,1
(1st yr) Juv.,1
(2) 3 Days,1
(2-3 eggs full clutch),1
(2-3 weeks incubation) Abandoned,1
(22) days old,1
(4-5 yrs old),1
(48 hours old) yg.,1
(9) days old,1
(?),7
(?)juv.,1
(Downy chick),1
(FL),3
(Fh),44
(Fh-) see card,1
(Fresh) Brought to WFVZ in 1993,5
(I),12
"(I, II)",1
"(I, II, III)",1
"(I, III)",13
(II),86
"(II, III)",95
"(II, III, amphispores)",6
(III),176
(Juv)?,1
(Juv.)?,3
(Peridermium stage),1
(S/1),1
(Subadult),1
(Yg),1
(Yg.),1
(Young),1
(about) 1/3,1
(amphispores),4
"(amphispores, III)",6
"(amphispores, teleospore)",1
(checkmark),3
(dead) large embryos,1
(egg: A1-18333),1
(finally) Vble trace to s. embry,1
(fledgling),1
(fry of),1
(gummy) one week,1
(hauchiwakaede),4
(hinoki),2
(juv)?,4
(juv.)?,3
(juv.?),1
(larva),1
(m?),1
(nest: A1-17871; egg: A1-18339),1
(nest: A1-17878),1
(newly hatched),2
(over 2 days),1
(sub?)adult,2
(subad),6
(togasawara),1
(young),4
*,1
*[1st nupt. ?],1
*[Juv.],1
+,44
+ oeufs,1
+ ponte,1
+ un têtard,1
+(2),1
+/- 1 year,1
+/- 11 mos.,1
+/- 4 days: forelimb buds and ey,1
+1,109
+2,18
+3,1
+4,1
+7,1
+\- 5 Weeks,1
-,477
--,54333
-1,4
-2,2
-3,1
-Ad,1
.,6
0,7
0.1,10
.1.,1
0.15,1
0.2,12
.2 (fertility = nil),1
0.25,3
0.3,5
0.4,6
0.5,10
.5 or 1.5 years,1
.5 to 1.5 years,1
.5 years,1
0.6,2
0.7,1
0.8,1
/adykt,1
0,7139
0  ou  1,11
0 - (deserted),1
0 - 2 cm,340
0 - Fresh,1
0 0 0 0,1
0 0 b B e E E; bird on nest,1
0 MESES,796
0 [days],1
0 adults | 1 juveniles,421
0 adults | 10 juveniles,3
0 adults | 11 juveniles,5
0 adults | 12 juveniles,5
0 adults | 13 juveniles,4
0 adults | 14 juveniles,7
0 adults | 15 juveniles,3
0 adults | 16 juveniles,3
0 adults | 17 juveniles,2
0 adults | 18 juveniles,2
0 adults | 19 juveniles,2
0 adults | 2 juveniles,120
0 adults | 21 juveniles,1
0 adults | 22 juveniles,1
0 adults | 25 juveniles,1
0 adults | 27 juveniles,1
0 adults | 3 juveniles,51
0 adults | 30 juveniles,2
0 adults | 37 juveniles,1
0 adults | 4 juveniles,45
0 adults | 5 juveniles,21
0 adults | 6 juveniles,20
0 adults | 7 juveniles,11
0 adults | 8 juveniles,10
0 adults | 89 juveniles,1
0 adults | 9 juveniles,5
"0 adults, 1 Juveniles, 0 Cysts, 0 Cystoids, 0 Egg sacs",429
"0 adults, 2 Juveniles, 0 Cysts, 0 Cystoids, 0 Egg sacs",167
"0 adults, 3 Juveniles, 0 Cysts, 0 Cystoids, 0 Egg sacs",31
"0 adults, 4 Juveniles, 0 Cysts, 0 Cystoids, 0 Egg sacs",20
"0 adults, 5 Juveniles, 0 Cysts, 0 Cystoids, 0 Egg sacs",15
"0 adults, 6 Juveniles, 0 Cysts, 0 Cystoids, 0 Egg sacs",6
"0 adults, 7 Juveniles, 0 Cysts, 0 Cystoids, 0 Egg sacs",4
"0 adults, 8 Juveniles, 0 Cysts, 0 Cystoids, 0 Egg sacs",1
"0 adults,0 juveniles, 0 cysts, 0 cystoids, 0 egg sacs",6
"0 adults,0 juveniles, 1 cysts, 0 cystoids, 0 egg sacs",1
"0 adults,0 juveniles, 2 cysts, 0 cystoids, 0 egg sacs",1
"0 adults,0 juveniles, 3 cysts, 0 cystoids, 0 egg sacs",1
"0 adults,1 juveniles, 0 cysts, 0 cystoids, 0 egg sacs",249
"0 adults,2 juveniles, 0 cysts, 0 cystoids, 0 egg sacs",60
"0 adults,3 juveniles, 0 cysts, 0 cystoids, 0 egg sacs",24
"0 adults,4 juveniles, 0 cysts, 0 cystoids, 0 egg sacs",38
"0 adults,5 juveniles, 0 cysts, 0 cystoids, 0 egg sacs",16
"0 adults,6 juveniles, 0 cysts, 0 cystoids, 0 egg sacs",2
0 adults| 0 larvae| 4 pupae| 0 cocoon,1
0 adults| 1 larvae| 0 pupae| 0 cocoon,12
0 adults| 10 larvae| 0 pupae| 0 cocoon,4
0 adults| 12 larvae| 0 pupae| 0 cocoon,1
0 adults| 12 larvae| 6 pupae| 0 cocoon,1
0 adults| 15 larvae| 0 pupae| 0 cocoon,1
0 adults| 2 larvae| 0 pupae| 0 cocoon,15
0 adults| 2 larvae| 2 pupae| 0 cocoon,1
0 adults| 20 larvae| 5 pupae| 0 cocoon,1
0 adults| 3 larvae| 0 pupae| 0 cocoon,10
0 adults| 30 larvae| 0 pupae| 0 cocoon,1
0 adults| 4 larvae| 0 pupae| 0 cocoon,12
0 adults| 5 larvae| 0 pupae| 0 cocoon,8
0 adults| 5 larvae| 1 pupae| 0 cocoon,1
0 adults| 5 larvae| 3 pupae| 0 cocoon,1
0 adults| 6 larvae| 0 pupae| 0 cocoon,12
0 adults| 6 larvae| 1 pupae| 0 cocoon,1
0 adults| 6 larvae| 5 pupae| 0 cocoon,2
0 adults| 7 larvae| 0 pupae| 0 cocoon,4
0 adults| 8 larvae| 0 pupae| 0 cocoon,3
"0 chicks, 3 bad eggs #2",1
0 days,3
0 egg; 2 adult,1
0 egg; 3 adult,2
0 egg; 5 adult,1
0 juvenile; 24 adult,1
0 juvenile; 55 adult,1
0 male | 7 females,3
0 ou 1,143
0 ou 1 ou 2,1
0 ou 1 ou 2?,1
0 ou 2,2
0 to 1/3,1
0 to 4 days,1
0 to 5 days,1
0 to commenced,1
0 to well begun,2
0% ossified,1
0+,605
0+ years,6
"0, 1 y 3 años",1
"0, unbef.",1
"0,7-1 mm",143
0-0-0-0,2
0-0-0-3,1
0-1,11
0-1 año,9
0-1 years,1
0-18,1
0-2 años,7
0-2 y 4 años,1
0-2e-5B-3E,1
0-3 Days,1
0-3 años,8
0-3 days,2
0-4 años,1
