islandGroup,reps
,1399093903
  Hawaiian Islands,1
"""Archipiélago de San Andrés, Providencia y Santa Catalina""",937
"""Isla de Cioba, Gulf of Chiriqui""",1
',13
.,1
198912**,1
2013-07-01,1
21-island Isle-aux-Grues archipelago,2
?,1
ABC Islands,1150
ALEUTIAN IS,4
ALEXANDER ARCHIPELAGO,5
ALEXANDER ARCHIPELIGO,3
Abaco,561
Abaco Cays,4
Abaco Is.,155
Abaco Islands,179
Abaco islands,4
Abau,38
Abrohos Group,2
Abrolhos,147
Abrolhos Islands,4
Acklin Is.,7
Acklins Island Group,55
Acklins and Crooked Islands,62
Acores,1
Addu Atoll,77
Admirality,2
Admiralty Ids.,1
Admiralty Is.,19
Admiralty Islands,1418
Admiralty islands,2
Admitalty Islands,1
Aegean Islands,22
Aeolian Islands,2
Afognak Islands,17
Agalega Is.,6
Agalega Islands,1
Agattu-Isl,10
Agrigan Island,1
Aguijan-Isl,3
Aguni Island,1
Aguni-jima Island,23
Agusan Prov.,334
Ailinglaplap Atoll,3
Aiwo District,5
Ajishima-Isl,1
Aka-jima Island,39
Aka-jima Island of Ryukyu Islands,1
Akishima-Isl,20
Akuseki-jima Island,1
Alamagan-Isl,8
Aland,1
Aland Islands,18
Alaska,26
Alaska or Siberia,5
Aldabra,417
Aldabra Group,3089
Aldabra Is.,10
Aldabra Island,8
Aldabra Islands,72
Aleipata Islands,7
Aleutian,26
Aleutian Ids.,1
Aleutian Is.,277
Aleutian Islands,15230
Aleutian Islands.,5
Aleutians,345
Alexander Archepilago,12
Alexander Archilepago,2
Alexander Archipeago,4
Alexander Archipelago,32485
Allan's Cays,11
Almagan Island,7
Alor Archipelago,1
Alor Is.,30
Alphonse Group,4
Alps,1
Amakusa,4
Amakusa Islands,12
Amakusa Jima,2
Amakusa-shoto,2
Amambas Is. Sumatra,9
Amami,59
Amami Archipelago in Ryukyu Island,69
Amami Is.,235
Amami Islands,223
Amami Islands in Ryukyu Islands,11
Amami Islands|Ryukyu Islands,1
Amami shotou,5
Amami-Is,2
Amami-Isl,1
Amami-Oshima Island,124
Amami-ooshima island,1284
Amami-oshima Iland of Amami Islands,1
Amami-oshima Island,999
Amamiohshima-Isl,106
Amamiooshima,2
Amamioshima Is.,4
Amamioshima Island,2
"Amamioshima Island, Ryukyu Islands",1
Amamioshima-Isl,152
Amazonia,1
Amazons,1
Ambelau Is.,1
Ambergris Cays,1
Amboina Island,3
Amboina-Isl,2
Ambon Is.,219
Amboyna Island,1
Amelia,19
Amelia Is,1
American Samoa,204193
Amirante Is.,80
Amirante Islands,312
Amirantes Islands,8
Anambas Is.,12
Anambas Islands,13
Andaman,14
Andaman & Nicobar Islands,2
Andaman Ids.,1
Andaman Is,15
Andaman Is.,293
Andaman Islands,2248
Andaman Islands [India],48
Andaman Sea,21
Andaman and Nicobar Islands,38
Andamans,4
Andavadoaka,2
Anderman Islands,1
Andreanof Is.,1
Andreanof Islands,243
Andreanoff Islands,1
Andros Island,832
Angaur Island,1
Anguilla,5
Anguilla Cays,71
Angvilla Isles,1
Anijima-Isl,5
Anirantz Islands,1
Antarctic Islands,733
Antarctica & South Atlantic Isles,24
Antigua Island,1
Antigua-Isl,1
Antillen,14
Antilles,195
"Antilles, Greater",2
"Antilles, Lesser",420
Antipodean Is.,3
Antipodes,5
Antipodes Islands,25
Antique Panay Is.,1
Aoga-shima island,13
Aogashima Island,1
Aogashima island,38
Aogashima-Isl,6
Apo,21
Apolima,1
Apostle Islands,130
Arabian Sea,2
Arakamtchetchene Islands,1
Aran Islands,11
Arch. Chiloé,1
Arch. De los Chonos,2
Arch. Juan Fernández,4
Archipel Bismarck,21
Archipel Indien,1
Archipel Juan Fernández,1
Archipel d'Ogasawara,2
Archipel das Anavilhanas,9
Archipel de Bismark,8
Archipel de Los,1
Archipel de Mingan,39
Archipel de Palawan,18
Archipel de Vega,3
Archipel de Zanzibar,5
Archipel des Chagos,1
Archipel des Kerguelen,154
Archipel des Marquises,53
Archipel des Moluques,2
Archipel des Paracels,1
Archipelago Langkawi,81
Archipelago Los Roques,55
Archipelago Mascareignes,100
Archipelago of PR,4
"Archipelago of San Andres, Providencia and Santa Catalina",7
Archipielago Año Nuevo,1
Archipielago de Año Nuevo,3
Archipielago de Juan Fernandez,1
Archipielago de Las Perlas,50
ArchipiÃ©lago Melchior,2
Archipiélago Diego Ramírez,6
Archipiélago Juan Fernández,40
Archipiélago Los Monjes,5
Archipiélago Los Roques,10
Archipiélago Los Testigos,19
Archipiélago de Bocas del Toro,1
Archipiélago de Chiloé,818
Archipiélago de Chonos,3
Archipiélago de Galápagos,1272
Archipiélago de Juan Fernández,14
"Archipiélago de San Andrés, Providencia y Santa Catalina",5050
Archipiélago de Tierra del Fuego,37
Archipiélago de las Guaitecas,10
Archipiélago de las Islas del Rosario,186
Archipiélago de las Perlas,1
Archipiélago de los Canarreos,28
Arcipelago Toscano,21
Arctic islands,157
Argentine Is.,3
Argentine Islands,2
Arizona,18
Arnavon Islands,2
Aroe Islands,65
Aroe-eilanden,30
Arquipélago São Pedro São Paulo,1
Arquipélago da Madeira,125
Arquipélago das Cagarras,127
Arquipélago de Abrolhos,16
Arquipélago de Fernando de Noronha,441
Arquipélago de São Pedro e São Paulo,13
Arquipélago do Marajó,146
Arquipélago dos Abrolhos,204
Arquipélago dos Alcatrazes,1
Arquipélago dos Açores,876
Arrou Islands,5
Aru,1
Aru Is.,20
Aru Island,1
Aru Islands,424
Aru Islands Regency,1
Aru Islands [Kepulauan Aru],25
Ascension Id,1
Ascension Island,15
Ascension Islands,16
Ashmore Islands,1
Ashmore and Cartier,1
Ashmore and Cartier Ids.,6
Ashmore and Cartier Islands,3
Asuncion Island,6
Atanouk,4
Atas Is.,6
Atlasov Island,8
Atsumi Peninsula,1
Attu-Isl,9
Auckland Is.,3
Auckland Islands,403
Aur Is.,3
Austral Ids.,55
Austral Is.,45
Austral Islands,6376
Austral Islands (Tubuai Is.),4
Austral islands,11
Australia,7
Australian Indian Ocean Territories,78
Awaji Island,18
Awaji-shima Island,1
Awajishima Island,4
Awajishima-Isl,4
Awashima Island,1
Awashima-Isl,64
Azoren,1
Azores,32124
Azores (Açores),174
Azores Islands,1002
Azores [Portugal],81
Açores,2408767
BAHAMA IS,5
BAHAMAS IS,5
BAHAMAS SI,3
BORNEO,218
Babar Is.,2
Babeldaob Island,1
Babeldaob-Isl,30
Baberudaob Island,139
Baberudaob-Isl,4
Baberudaobu-Isl,1
Babi Is.,7
Babuyan  Gr.,1
Babuyan Group,3
Babuyan Ids.,20
Babuyan Is.,269
Babuyan Island Group,948
Babuyan Islands,232
Bacan Islands,16
Bachan,2
Bachan  Is.,25
Bachan Is,28
Bachan Is.,92
Bachan.Is.,1
Baffin,4
Bahama Ids.,186
Bahama Islands,3871
Bahama-Isl,3
Bahamas,7460
Bahamas Islands,11
"Bahamas, The",5
Bahrain,358
Bahrain Archipelago,6
Bahrain Islands,19
Bahrein,2
Bainbrudge Island,1
Baiti District,3
Baja California,19
Baja California Norte,2
Bajos de Los Colorados,1
Baker Island,386
Balabac Is.,4
Balabac Island,1
Balabac Islands,78
Balabalagan Islands,1
Balearen,11
Baleares Is.,1
Baleares Islands,1
Balearic,126
Balearic Group,2
Balearic Ids.,5
Balearic Is.,9
Balearic Island,1
Balearic Islands,704
Balearic Islands (Illes Balears / Islas Baleares),36
Balearic Islands Illes Balears / Islas Baleares,2
Balearic Islands [Spain],139
Balearic Islands archipelago,2
Bali,16
Bali Is.,102
Bali Island,5
Balicuatro Islands,102
Balleny Islands,3
Baltic Sea,5
Baléares,1
Bamburi Coral Gardens,2
Banana Islands,6
Banaue N.Luzon,13
Banda,3
Banda Is.,14
Banda Islands,59
Banda Islands (Kepulauan Banda),511
Banggai Is.,5
Banggai Islands,229
Bangka Belitung Islands,20
Bangka Is.,7
Banjak Is.,4
Banka Islands,42
Banks Group,2
Banks Islands,1031
Banks Peninsula,1
Banks islands,52
Banyak Is.,2
Banyak Is.  Sumatra,4
Banyak Islands,2
Banyaku Is.,3
Barat Daya Is.,1
Barat Daya Islands,7
Barbados,2
Barbuda,1
Barbuda Island,1
Bardswell Group,46
Barlavento Islands,7
Barlaventos,10
"Barlovento, ilhas de",30
Barren Islands,158
Barrier Is.,2
Barrier Islands,47
Barrier Islands of Louisiana,6
Basilan Island,9
Basilan-Isl,24
Basque Islands,2
Bass Islands,43
Bataan province,1
Batan Islands,199
Batanes Ids.,5
Batanes Islands,945
Batanes PAIC,155
Batano Islands,1
Batanta Is.,3
Batjan Island,9
Batjan-Isl,5
Batu Is.,9
Batu Isl.,3
Batu Islands,4
Batuanas Is.,1
Batuata Is.,4
Batuatas Is.,4
Baubau Buton Is.,2
Bawcan Island,4
Bawean  Is.,4
Bawean Is.,17
Bay Islands,876
Bay Islands: Cayos Cochinos,60
Bay Islands: Swan Islands,249
Bay of Fundy,1
Bay of Islands,6
Beardslee Islands,2
Beaver Island Archipelago,8
Belau,496
Belau (Palau) Is.,1
Belau Islands,3
Belau Outliers,543
Belau [Palau] Is.,125
Belau outliers,4
Belcher,1
Belcher Islands,48
Belep Islands,18
Belitung Is.,19
Belize,28
Bentenjima,2
Bequia-Isl,1
Bering Sea,1
Bering sea,1
Berkeley Islands,1
Berlengas Islands,4
Bermuda,857
Bermuda Islands,1076
Bermuda Islands British,173
Bermudas,32
Berry Is.,2
Berry Islands,110
Between Ya-shima and Uwa-jima Islands,1
Biak Is.,72
Biak Islands,4
Bidong Island,1
Big Gela Is.,5
Big Gela Is. Florida Isles.,3
Bikini Atoll,447
Bikumdo,1
Bilitong Is,15
Billiton Is.,2
Bimini,224
Bimini Islands,218
Binongko Is.,2
Binongko Is. Besi Islands,2
Birou-jima Island,13
Biroujima-Isl,2
Bisa Is.,2
Bischof Islands,14
Biscoe Is.,2
Biscoe Islands,95
Bismarck,13
Bismarck Archipelago,4972
Bismarck Ids.,54
Bismarckarchipel,10
Bismark Archipelago,54
Blasket Islands,68
Boac Island,9
Boano Is.,2
Bocas Islands,3
Bocas del Toro Archipelago,41
Bohol Is.,10
Bohol Islands,74
Boisee Islands,2
Bolkus Islands,16
Bonaire,1
Bonaparte,3
Bonaventure,35
Bonefish Key,1
Bonerate Is.,1
Bonin Ids.,2
Bonin Is.,92
Bonin Island,1
Bonin Islands,411
Boo Is.,1
Borikhane Prov.,5
Borneo,594
Borneo Is.,119
Borneo Island,74
Borneo-Isl,7
Boroli Hill,1
Boruneo Is.,12
Bougainville,1
Bougainville I. Solomon Islands,15
Bougainville Is.,12
Bougainville Is. Solomon Ins.,1
Bougainville Is. Solomon Islands,6
Bougainville Island,1
Bougainville Island Solomon Islands,1
Bougainville Prov.,15
Bounty Islands,8
Bouvet Island,1
Brava-Isl,1
Bred Palawan Is.,5
Brent Islands,2
Breueh Is.,4
Breuh Is.,1
Bridgeport Bar Islands,14
Bridges Islands,2
Brine Islands,2
Brionski Otoci (Brioni Is.),1
British Columbia,1
British Isles,82470
British Solomon Islands,3
British Virgin Islands,196
British Virgin Islands British,145
British West Indies,49
British-Isl,1
Broken Group,1
Brook Islands,1
Bruny Is,1
Bruny-Isl,1
Bukidnon Prov.,8
Bulitang Island,33
Bunker Group,3
Burdwood Bank,1
Burgeo Islands,5
Buru Is.,195
Buru Island,5
Buru-Isl,1
Buton Is.,2
Button Islands,4
Buzios Island,1
C.Nias Is.,1
CANARY  ISLANDS,6
CAPE VERDE IS,3
CHANNEL IS,335
CHANNEL ISLANDS,4
CHEKIANG,2
COCHISE CO,1
"Cabrera, arxipèlag de",1
Cagayan Ids.,50
Cagayan Islands,2
Cagayan islands,1
Cagayanes Islands,70
Caicos,1
Caicos Is,13
Caicos Is.,2
Caicos Islands,124
Calamian Gr.,10
Calamian Group,803
Calamian Ids.,257
Calamian Islands,101
Calamianes,21
Calamianes Islands,19
Calamianes islands,21
California,206
Camiguin Is.,5
Camiguin Island,100
Camotes Ids.,312
Camotes Islands,2
Camp Islands,355
Campanian Archipelago,1
Campbell Island,1
Campbell Island group,17
Campbell Islands,4
"Campeche Bank Islands, Alacran Shoal [Arrecife Alacránes]",4
Canadian Arctic Archipelago,1135
Canal Islands,1
Canal Zone,4
Canarias,5
Canaries,41
Canarische Eilanden,5
Canarreos Archipelago,16
Canary,4942
Canary Ids.,53
Canary Is,42
Canary Is.,373
Canary Islands,4771
Canary Islands [Spain],355
"Canary Islands, Spain",193
Canaryislands,9
Caniguin Is,1
Canso Ledges,12
Canton Isabela,755
Canton San Cristobal,961
Canton Santa Cruz,1039
Cap Vert,46
Cape Breton Islands,38
Cape Culruy,1
Cape Prov.,5
Cape Verde,342
Cape Verde Ids.,2
Cape Verde Is.,49
Cape Verde Islands,966
"Cape Verde Islands, Rombos Islets",2
Cape de Verde Islands,1
Capri Island,2
Capricorn Group,1460
Cargados Carajos,5
Cargados Carajos Shoals,5
Cargados Carajos Shoals (Saint Brandon Rocks),1097
Carolina Islands,8
Caroline,1
Caroline Ids.,5815
Caroline Is.,26
Caroline Island,40
Caroline Islands,23029
Caroline Islands [Federated States Of Micronesia],410
Caroline islands,8
Caroline-Isl,22
Carrie Bow Cay,305
Cassini Island,3
Cat Cays,12
Catanduanes Island,47
Cayman,2
Cayman Ids.,136
Cayman Is.,7
Cayman Islands,1217
Cayman Islands British,144
Caymans,1
Cayo Beacon,106
Cayo Cangrejo,2
Cayo Tres Hermanos,1
Cayo del Norte,388
Cayos Caribe,2
Cayos Cochinos,1
Cayos Miskitos,3
Cayos Zapatilla,25
Cayos de Albuquerque,1
Cayos de Norte,414
Cayos de San Jacinto,28
Cayos de San Jacinto (Cayos de Cana Gorda),38
Cayos de San Jacinto (San Jacinto Keys),1
Cayos del Norte,2736
Cebu Is.,5
Cebu Isl.,1
Cebu Island,230
Cebu Prov.,4
Cedar Keys,278
Cedros Island,2
Celebes,1
Celebes Coastal Islands,19
