occurrenceStatus,reps
,1047606045
"""doubtful (occurrence with """"0"""" mark).""",3
"""doubtful (occurrence with """"no"""" mark).""",21
"""doubtful (occurrence with """"x"""" mark).""",17
#N/A,1
(EN),3
(NT),1
(VU),9
+- 100 plants at this site,1
+/- 30 plants,1
1,15406
1 clump,1
1 colony,1
1 colony of about 20 plants,1
1 large bush,1
1 large clump,1
1 large colony,1
"1 large colony, 10x10 m.",1
"1 large colony, 3 x 7 m, a 2nd smaller colony.",1
1 large matted tuft seen.,1
1 low shrub. Rare,1
1 multi-stemmed shrub,1
1 patch,1
1 plant,3
1 plant noted.,1
1 plant only,4
"1 plant only, but possibly spread from the large colony in forest across Everett Rd to the north.",1
1 plant seen pale purple darker when dry,1
1 plant.,5
1 shrub,1
1 shrub only,1
1 shrub only; generally scarce,1
1 small colony,1
1 small colony.,1
1 small group of plants in this location. later specimen #362.,1
1 small tree,3
1 tree only,1
1 tree.,1
1 tuft of fifteen stems.,1
10 Plants,1
10 plants,2
"10 plants, scattered",1
10-15,2
10-15 clumps in immediate vicinity,1
10-15 plants,2
10-20 plants (S side of creek half way along),1
100 plants counted in less than 100' strip of roadside.,1
"100's of clumps; well established, but quite local",1
"100's of stems, very few fruiting (< 5)",1
100's-1000's plants.,1
100+ clumps,1
1000+ plants,1
11 plants,1
11 plants (several flowering),1
11 plants.,1
12 plants,1
12 plants in scattered group.,1
12 shrubs,1
12 trees,2
12-15 plants.,1
12-15 robust flowering clumps,1
13 plants in a distance of 100 m along ditch.,1
130 plants,1
146,1
15 plants on this date at this location,1
15 plants.,1
15 scattered plants seen.,1
15-20 plants.,1
150+ plants in flower + numerous vegetative plants,1
16 trees (many suckers),1
18 plants in 4 separate groups,1
19 plants,1
2 (4 in 1994),1
2 areas with many plants.,1
2 areas within valley; several colonies ca. 1 X 1 m to 2 X 2 m in size,1
2 clones only,1
2 clumps,1
2 clumps ca. 5 m apart,1
"2 dense colonies, 10 ft. & 13 ft. in diameter",1
2 large bushes,1
2 large clumps,1
2 large colonies slightly separated; both spreading.,1
2 large shrubs.,1
2 large trailing vines,1
2 m bush.,1
2 or 3 large colonies.,1
2 patches N of Wentworth & Harbour Rd. S,1
2 plants,5
2 plants only,1
2 plants seen,2
2 plants seen close together.,1
2 plants seen.,1
2 plants.,7
2 robust patches 200 m apart,1
2 shrubs,1
2 small trees,1
2 smaller trees and seedlings,1
2 trees,1
2 trees and many seedlings,1
2 trees.,2
2-3 plants.,3
20 plants,1
20 plants scattered in grass,1
20 plants.,1
20 tufts,1
20 tufts of plants,1
20+ clumps,1
20+ culms,1
20+ plants,3
20+ seedlings nearby,1
20+ seedlings nearby.,1
20-30 plants.,1
20-30 specimens in a clump,1
200-300 plants,1
21 plants,1
23 plants seen,1
25 plants,1
250+ plants.,1
27 plants in roadside strip of about 80 m.,1
29 plants in several groups,1
3 clumps,1
"3 clumps, 2 under cedar, 1 in clearing.",1
3 individuals,2
3 large bushy shrubs to 1 m tall,1
3 or 4,1
3 planted individuals only,1
3 plants,3
3 plants seen,1
3 plants seen.,1
3 plants.,1
3 shrubs,1
3 small shrubs,1
3 small trees,1
3 specimens only here,1
3 stalks only,1
3-4 (trees gone by 1990).,1
3-4 clumps.,1
3-4 in clump.,1
3-4 scattered shrubs,1
30 plants,1
30 plants.,1
"30 to 40 trees here, fruit abundant",1
"30+ Plants, 14 with flowers.",1
38 clumps,1
"4 individuals, the largest with 5 stems, up to 6 m tall and 4-8 cm dia.",1
4 large old trees & many young ones.,1
4 or 5 plants,1
4 or 5 plants.,1
4 or 5 shrubs seen here.,1
4 or 5 small trees,1
4 or more trees,1
4 plants,1
4 plants seen.,1
4 plants to 3 m tall,1
"4 plants together, 1 distant; 37 flowering plants Aug. 4.",1
4 plants.,1
"4 scattered patches, the largest 2 m in diameter.",1
4+ plants.,1
4-5 plants,2
4-5 plants.,1
40-50 plants in a relatively small area,1
45 plants,1
5 groups of 5 to 8 plants.,1
"5 individuals, seedling to sapling stage (1.5-2.5 cd dbh)",1
5 large and several smaller trees.,1
"5 or 6 widely scattered, usually dense colonies of up to more than 60 plants each.",1
5 plants,3
"5 plants, in a clump.",1
5 plants.  (1994: 9 plants; 1993: 6 plants.),1
5 small shrubs,1
5-10 individuals,1
5-6 clumps,1
5-6 plants,2
50 plants seen in 3 m square area,1
50 plants.,1
50+ plants,4
50+ plants.,1
50-100 plants in colony,1
50-100 such plants here,1
54 plants observed in 1 area and over 20 plant in 2 others.,1
6,4
6 flowering plants,1
6 individuals,2
6 plants,4
6 plants.,3
6 small planted trees,1
6-7 groups of plants,1
6-7 trees,1
60 small trees,1
62 flowering plants. 69 vegetative Calypsos in Oakview.,1
65 plants (< 10 flowering),1
7 clumps (+ 4 more clumps nearby),1
7 plants,1
7-8 plants.,1
75 plants.,1
8 plants,2
8 plants present.,1
83 plants,1
9 plants at 801 168 31F/5; 3 plants at 795 175 31F/5,1
?,2
A colony about 25 yds in radius.,1
A colony of several dozen.,1
A common species,1
A common species throughout this region.,1
A common tree,1
A common tree.,1
A common vine,1
A common weed,1
"A common, large tree",1
A comon weed,1
A couple of bushes also in ditch at south-east corner of area,1
A couple of colonies of 20-100 tuft plants each.,1
A couple of loose colonies.,1
A couple of robust groups.,1
A couple of robust tufted plants,1
A couple of tufted plants.,1
A dense patch covering a couple of square yards.,1
"A distinctive black and yellow colored swallowtail, this is one of the largest species to be found in North America.",1
"A dominant in herb layer, small community 120m x 120m.",1
A dominant species,1
A dozen flowering plants with at least that many hybrids,1
A dozen or more plants,1
A dozen scattered plants,1
A fairly compact colony of 20 plants & others scattered around.,1
A few,2
A few clumps.,4
A few colonial patches were seen.,1
A few colonies.,1
A few dense clumps.,1
A few dense tufts.,1
A few dozen plants,1
A few dozen plants close together.,1
A few fruiting vines,1
A few here.,1
A few large tufts.,1
A few matted clumps.,1
A few more specimens.,1
A few patches,1
A few planted.,1
A few plants,9
A few plants (these from a tall clump).,1
A few plants at one spot.,1
A few plants in limited area.,1
A few plants noted in this vicinity.,1
A few plants seen.,1
A few plants.,10
A few robust patches noted.,1
A few robust plants,1
A few scattered bushes,1
A few scattered plants,4
A few scattered plants in locality.,1
A few scattered small colonies,1
A few scattered tufts.,1
"A few scattered, tufted plants.",1
A few shrubs,2
A few shrubs.,1
A few small trees,1
A few sterile plants.,1
A few trees only,1
A few tufted plants locally.,1
A few tufts seen.,1
A few widely scattered plants,1
A few widely scattered small trees,1
A few.,2
A fine colony here.,1
A large bed,1
A large colony.,1
A large patch,1
"A large patch, at least 1m diameter.",1
A large patch.,1
A large stand,1
A large stand of several hundred plants; the only stand seen in area.,1
A lot of plants.,1
A number of plants groupled or scattered in this location.,1
A patch about 1 square metre in extent.,1
A patch.,1
A single large clump.,1
A single large colony,1
A single large tuft.,1
A single patch,1
A single specimen.,1
A single tree,3
A small colony of about 25 flowering stems.,1
"A small colony of even-aged trees, probably introduced",1
A small patch,1
A solitary clone.,1
A thousand in a couple of large loose colonies and several scattered small groups of plants,1
A very common tree,1
A very few clumps,1
A: 1.2,1
Abnormal.,1
"Abondance, sociabilite & vitalite h:3.1",1
Abondance-dominance: 5.5,1
"About 10 patches seen, most badly trampled but a few healthy with numerous flowering culms.",1
About 10 plants,4
About 10 plants seen,1
About 10 scattered plants,1
About 100 individuals in this stand spread over 25 m,1
About 100 plants,1
About 100 plants in bloom in +/- 1/3 of the flats in which grew (see list in habitat).,1
About 12 large plants.,1
About 15 clumps in 3 separate areas.,1
About 15 plants.,1
About 15 trees scattered along 30 m of river bank.,1
