behavior,reps
swim; surface dive,99
call; song; emit alarm,98
Social context: mixed,97
call; song; advertise; emit alarm,97
call; establish parent young contact,96
hop,96
lek; perform visual display,93
call; mechanical sound; forage,92
call; beg; Social context: family,92
roost,92
establish flock contact; call,92
song; Social context: mixed,90
beg; call,90
song; lek,89
beg,89
mechanical sound; advertise,88
song; call; advertise,87
call; fly; emit alarm,87
advertise; counter singing; song,87
call; depart,86
forage; preen,86
call; mechanical sound; song,84
Stand/Perch,84
"At capture, exposure was partial sun and the lizard was moving.",83
incubate,83
Singing,83
|,83
song; mimicry; advertise,83
dawn song; song,83
perform visual display; perch,82
song; court,82
carry food in bill; perch,81
call; song; dawn song,81
||||,80
On Territory,80
song; advertise; fly,80
perform visual display; call; perch,78
perch; forage,77
call; forage; Social context: mixed,77
depart; perch,76
call; song; mate,76
eat; perch,75
call; duet,75
call; song; scold,75
song; advertise; lek,74
call; mechanical sound; fly,73
call; Social context: troop,72
"At capture, exposure was full sun and the lizard was lying still.",72
lek,71
forage; hop,70
preen; stand,70
flying,69
carry food in bill,69
forage; peck,69
run,68
court,68
perch; hop,68
call; mob,67
dawn song,66
dead,66
call; contact,66
|||||||||,64
Social context: colony,64
song; mate,64
forage; song,63
fly; song; perch,63
call; fight,63
Response To Playback,62
emit distress calls,62
stand; walk,61
eat; forage,60
call; song; advertise; scold,60
Not Seen,60
call; roost,59
call; advertise; establish flock contact,59
dead on road; crossing road,58
call; song; mate; advertise,58
beg; feed young,57
song; dawn song; fly,57
singing 'phebe-o',56
song; mechanical sound; advertise,56
soar,56
call; emit alarm; scold,56
call; dawn song,55
mimics L. rara,55
"At capture, exposure was partial sun and the lizard was lying still.",55
call; song; duet; advertise,54
crawling,54
land; fly,54
song; lek; advertise,54
perform courtship display; call,54
perch; fly,54
Spontaneous,53
call; depart; fly,53
call; flush,53
perch; Social context: colony,53
care for young; establish parent young contact; mate; perform nest relief; incubate; arrive; contact; call,52
fight,52
singing 'fitz-bew',52
walk; stand,51
mechanical sound; forage,51
perform visual display; call,51
|||||,51
perch; depart,51
whistles; clicks,51
call; scold; emit alarm,51
call; mechanical sound; advertise,51
song; Social context: family,50
surface dive,50
call; song; mate; establish parent young contact; care for young,50
Foraging,50
clicks; whistles; squeals,49
mate,49
song; advertise; Social context: family,49
|||,49
Responding To Playback,49
Social context: colony; perch,49
depart,49
forage; eat,48
hatch,48
preen; call; perch,47
song; duet; advertise; mate,47
with parent,47
care for young,47
|||||||||||||||||||||||||||||,47
hop; perch; perform visual display,47
call; song; fly,46
call; emit distress calls,46
copulate,46
call; dawn song; advertise,46
mechanical sound; fly,45
call; advertise; fly,45
fly; forage,45
call; song; perch,45
call; song; perform visual display,45
call; fly; forage,45
forage; take flight,44
call; emit alarm; perform visual display,44
call; song; counter singing; advertise,44
Aggression/defense,43
barks,42
whistles,42
call; advertise; emit alarm,42
call; advertise; mate,41
In Response To Playback,41
call; forage; fly; establish flock contact,41
"At capture, exposure was partial sun and the lizard was foraging.",41
alive on road,41
song; perch; take flight,41
song; mate; advertise,41
Perched In Tree,40
Flock,40
song; dusk song,40
forage; stand,40
take flight,40
call; song; advertise; establish flock contact,40
Perched In Salicornia,40
DOR,40
call; rest,39
swim; rest,39
song; whisper,39
Reproduction,39
song; call; court; advertise,39
call; lek,39
preen; call,38
"At capture, exposure was full sun and the lizard was foraging.",38
call; forage; establish flock contact; Social context: mixed,38
2 Individuals,38
call; stand,38
Locomotion,37
call; song; advertise; court,37
advertise; dawn song; song,37
call; song; establish flock contact,37
scold,37
thumps,37
call; forage; emit alarm,37
call; advertise; lek,37
walk; call,37
call; mechanical sound; song; advertise,37
fly; song,37
forage; probe,36
call; depart; arrive; fly,35
vocalize; perform courtship display,35
call; mate; advertise,35
fly; rest,35
song; subsong,35
kill,35
perch; eat,34
hop; forage,34
call; fly; Social context: colony,34
||||||||,34
hop; perform courtship display; perch,34
counter singing; song,34
call; song; advertise; perform visual display,34
swim; call,34
enter nest cavity,33
mechanical sound; call,33
with parents,33
call; mechanical sound; emit alarm,33
song; Social context: colony,32
song; establish flock contact,32
collect nest material,32
call; mate; establish flock contact,31
call; emit alarm; Social context: family,31
song; mechanical sound,31
perch; Social context: colony; call; care for young,31
mimics L. rubricata,31
subsong,31
perch; song; take flight,31
sit on nest; incubate,30
wipe bill; perch,30
hop; walk,30
scold; call,30
swim; perform visual display,30
song; advertise; establish flock contact,30
excavate cavity,30
fly; hover,30
lek; vocalize; perform visual display,30
forage; establish flock contact,30
fly; Social context: flock,29
preen; vocalize,29
call; song; advertise; Social context: mixed,29
coiled,29
call; mate; fly,29
call; mate; emit alarm,29
subsong; advertise,29
call; song; mate; advertise; forage,29
call; mechanical sound; bill drumming; advertise,29
mimicry,29
fly; swim,29
"At capture, exposure was full shade and the lizard was lying still.",29
song; fly; advertise,29
call; advertise; court,28
call; advertise; Social context: family,28
rest; stand,28
hop; call; perch,28
bill drumming; mechanical sound,28
sleep,28
call; song; forage; establish flock contact,28
fly; stand,27
bathe; preen,27
call; emit alarm; Social context: mixed,27
perch; call; take flight,27
Two Individuals,27
depart; song; perch,27
depart; fly,27
call; establish flock contact; Social context: mixed,27
feeding,27
song; duet; mate,27
All Songs Spontaneous,27
Aggression/defense; call,27
perform visual display; swim,27
advertise; forage,27
song; dawn song; court; advertise,27
call; flush; fly,26
fly; establish flock contact,26
call; forage; Social context: family,26
walk; rest,26
song; advertise; Social context: colony,26
call; establish parent young contact; Social context: family,26
lek; hop,26
forage; fly; call,26
call; song; counter singing,26
call; care for young,26
call; song; advertise; fly,26
hop; fly; call; perch; perform visual display,26
brood; sit on nest,25
song; emit alarm,25
call; mechanical sound; depart; arrive; fly,25
fly; roost,25
song; advertise; whisper,25
song; fly; Social context: colony,25
perform courtship display; vocalize,25
dabble; swim,25
call; advertise; Social context: troop,25
dying on road,25
in flocks,25
call; depart; fly; emit alarm,24
"At capture, exposure was full shade and the lizard was moving.",24
stand; take flight,24
fly; mechanical sound,24
call; mimicry,24
call; counter singing,24
call; fly; perform visual display,24
call; emit alarm; Social context: troop,23
call; counter singing; advertise,23
call; lek; advertise,23
call; advertise; perform visual display,23
call; court; perform visual display,23
lie,23
fly; call; song; perch,23
forage; Social context: flock,23
forage; cling,23
emit distress calls; call,23
call; court; advertise,23
call; establish parent young contact; beg; Social context: family,23
walk; preen,22
call; establish parent young contact; beg; care for young,22
call; call,22
establish parent young contact,22
call; song; subsong,22
swim; walk,22
hop; perform courtship display,22
call; forage; scold,22
call; advertise; forage; establish flock contact,22
sit on nest; preen,22
call; mechanical sound; forage; establish flock contact,22
song; advertise; emit alarm,21
song; forage; Social context: mixed,21
call; forage; Social context: mixed; establish flock contact,21
1 of 3 young in nest,21
flying 300 yards to ice edge,21
drink; swim,21
call; establish parent young contact; care for young,21
mob,21
call; flush; emit alarm,21
All Calls & Songs Spontaneous,21
song; advertise; forage; establish flock contact; Social context: mixed,21
preen; song; perch,21
calling,21
call; song; advertise; forage; Social context: mixed,21
call; emit alarm; establish flock contact,21
call; copulate,21
song; scold,21
Social context: family,21
song; advertise; forage; Social context: mixed,21
call; song; counter singing; mate,21
Dead on road (dying),21
colony nesting,20
1 of a pair,20
forage; fly; perch,20
call; walk,20
call; song; Social context: mixed,20
perch; hop; lek,20
call; subsong,20
mechanical sound; song; perform visual display,20
call; mate; perform visual display,20
emit alarm; fly; call,20
call; depart; emit alarm,20
call; beg; perform visual display,20
call; Social context: family; establish flock contact,20
exit nest cavity,20
fly; soar,20
foraging,20
Chorus,20
large colony,20
attached part,19
preen; swim,19
In Canopy,19
forage; rest,19
call; song; whisper,19
call; mechanical sound; perform visual display,19
stand; preen,19
hop; lek,19
call; fly; forage; establish flock contact,19
counter singing,19
call; duet; advertise,19
call; fly; perch,19
call; song; court,19
call; advertise; Social context: mixed,19
call; fly; emit alarm; Social context: family,19
call; advertise; scold,19
forage; suck sap,19
brood,19
at nest,19
call; song; advertise; Social context: family,19
displace,19
jump,19
mechanical sound; bill drumming; forage,18
call; scold; Social context: family,18
call; mechanical sound; lek,18
swim; sleep,18
call; scold; perform visual display,18
call; song; advertise; mate; forage,18
carrying food,18
"At capture, exposure was full shade and the lizard was foraging.",18
song; advertise; scold,18
call; duet; song,18
Spontaneous & In Response To Playback,18
mechanical sound; song; bill drumming; advertise,18
advertise; duet; song,18
hop; call; perch; perform visual display,18
groom,17
fly; preen; perch,17
song; perch; preen,17
Group,17
call; arrive,17
Flying Overhead,17
fly; take flight,17
fly; call; mechanical sound,17
perch; perform courtship display; call; depart,17
perform visual display; lek,17
call; fly; Social context: troop,17
duet; advertise,17
perch; hop; take flight,17
hopping,17
call; song; mate; forage,17
threaten,17
Usually Perched,17
climbing,17
forage; surface dive,17
In Flight,17
advertise; contact; call; song,17
forage; advertise; song,17
build nest; carry nest material; land; take flight,17
under rocks etc on sides of Rock Creek,17
call; song; advertise; forage; establish flock contact; Social context: mixed,17
call; beg; emit alarm,16
song; forage; Social context: family,16
call; song; mimicry,16
call; song; Social context: family,16
perch; forage; hop,16
duplicate catalog number,16
allopreen,16
song; court; perform visual display,16
yawn; perch,16
call; mechanical sound; emit distress calls,16
perform courtship display; perch,16
perform visual display; vocalize,16
feeding in forest clearing,16
walk; perch,16
call; dusk song,16
song; flight song,16
Pair,16
call; song; lek; advertise,16
preen; song,16
perch; lek; hop,16
pre-dawn chorus,16
call; perch; take flight,16
forage; run,16
Near Nest,16
mechanical sound; song; advertise; perform visual display,15
song; stand,15
song; forage; establish flock contact,15
call; song; advertise; forage; establish flock contact,15
forage; peck; probe,15
"Perched, Occasional Flight Songs",15
song; subsong; advertise,15
call; mechanical sound; mate,15
perch; wipe bill,15
stand; forage,15
1 of a brood of 5,15
call; song; Social context: colony,15
eat; stand,15
rest; perch,15
call; song; advertise; lek,15
call; fly; mechanical sound,15
Social context: troop,15
call; Social context: troop; establish flock contact,15
open sea flying,15
call; depart; flush,15
depart; perform courtship display,15
care for young; establish parent young contact,14
preen; Stand/Perch,14
depart; fly; perch,14
perch; song; preen,14
Small Flock,14
fly; establish flock contact; call,14
feed young; vocalize,14
song; mate; perform visual display,14
fly; eat,14
fly; call; song,14
hop; perform visual display,14
carry nest material,14
eat; fly; perch,14
call; establish parent young contact; emit alarm,14
advertise; flight song; song,14
call; Social context: colony; perform visual display,14
prowling,14
flying less than 1 mi to ship,14
call; forage; Social context: troop,14
call; forage; perform visual display,14
call; scold; Social context: mixed,14
call; mob; emit alarm,14
forage; call; song,14
capture prey; forage,14
Spontaneous Song,14
song; song,14
Flight,14
call; mechanical sound; song; advertise; forage,14
advertise; mechanical sound,14
perch; take flight; call,14
dust bathe,14
song; advertise; court; perform visual display,14
perch; Social context: colony; care for young,14
clicks; squeals; whistles,14
forage; call; perch,13
song; duet; mate; advertise,13
unknown,13
enter nest cavity; exit nest cavity,13
call; song; mate; care for young; establish parent young contact,13
song; dawn song; advertise; perform visual display,13
call; mechanical sound; duet; dawn song; depart; arrive; fly; Social context: colony,13
swim; take flight,13
Mist Net Distress,13
call; song; fly; advertise,13
song; advertise; fly; perform visual display,13
eat; take flight,13
mechanical sound; song; advertise; forage,13
response to playback,13
take flight; forage,13
Feeding,13
call; establish flock contact; fly,13
At Nest,13
mob; call,13
feeding young,13
advertise; perform visual display,13
Captivity,13
rest; preen,13
court; perform visual display,13
climbing tree,13
feeding mid channel,13
eat; perch; forage,13
song; counter singing; duet; advertise,13
from a flock,13
over decoys,13
In Thicket,13
Several Individuals,13
take flight; perch; call,13
forage; perch; hop,13
perch; forage; eat,13
forage; carry food in bill,13
coughs,13
call; mechanical sound; forage; fly,13
fly; preen,13
call; song; advertise; Social context: colony,13
kill; eat,13
swim; preen; rest,13
call; song; duet; advertise; mate,13
squeals; clicks; whistles,12
perch; tail wag,12
contact; call; song,12
perch; forage; take flight,12
call; beg; care for young,12
brood; incubate; call,12
excavate nest burrow,12
attack,12
swim; vocalize,12
Social context: flock; fly,12
1 of 4 young in nest,12
counter singing; advertise,12
perch; fly; call,12
perch; walk,12
depart; call; perch,12
fly; sit on nest,12
open sea swimming,12
slither; stick out tongue,12
perform visual display; perch; song,12
flock of 30,12
vocalize; rest,12
whistles; squeals; clicks,12
perch; sleep,12
chase prey; swim,12
perch; drink,12
vocalize; perch,12
duet; call; song,12
fly; Social context: colony,12
flightless,12
Social context: colony; perch; preen,12
crossing road after rain,12
perform visual display; perch; song; preen,12
squeaks,12
call; mate; Social context: family,12
bill swipes; perch,12
call; song; roost,12
walk; forage; eat,12
fly; carry food in bill,12
mechanical sound; song; advertise; fly,12
mechanical sound; song; court,12
1 of 5 young in nest,12
call; song; duet; mate; advertise,12
song; call; forage,12
1 of 4 in nest,12
Flying Over,12
call; fly; Social context: flock,12
song; call; advertise; scold,12
perch; defecate; take flight,12
beg; feed young; call,12
song; call; mechanical sound,12
call; fly; advertise,12
Flying,12
build nest; song,12
walk; eat,12
swim; barks,12
swim; preen; call,12
depart; fly; perform courtship display,12
forage; call; mechanical sound,12
perform courtship display; depart,12
stand; forage; walk,12
lek; song,11
call; scold; establish flock contact,11
perch; Social context: colony; preen,11
yawn; rest,11
call; arrive; fly,11
fly; land; swim,11
preen; rest; stand,11
emit alarm; call; song,11
mechanical sound; perform visual display,11
taken from nest,11
beg; perch,11
walk; vocalize,11
song; court; fly,11
stand; call,11
Reproduction; call,11
preen; walk,11
vocalize; song,11
caught in forest,11
mimicry; song,11
call; court; fly,11
barks; call,11
In Captivity,11
was feeding in Ficus tree,11
call; depart; establish flock contact,11
forage; defecate,11
advertise; court,11
lek; perform visual display; vocalize,11
eat; swim,11
call; fly; mate,11
collected over water,11
perform visual display; fly; call; perch,11
call; song; counter singing; duet; mate; establish parent young contact; care for young,11
duet; call,11
Social context: flock; forage,11
call; song; dawn song; advertise; forage,11
carry food in bill; fly; stand,11
sit on nest; stand; brood,11
song; advertise; care for young,11
whistles; clicks; squeals,11
walk; sit on nest,11
flying 0.25 mi from shore,11
Spontaneous Calls,11
call; song; dusk song; advertise,11
eat; walk,11
forage; establish flock contact; call,11
song; advertise; forage; perform visual display,11
perform visual display; sit on nest,11
song; fly; perform visual display,11
stretch; perch,11
from a brood of 4,11
preen; cling,11
netted,11
call; establish flock contact; forage,11
forage; walk; take flight,10
watch,10
call; court; Social context: colony,10
1 of 3,10
perch; preen; song; perform visual display,10
song; court; mate,10
being fed by parent,10
song; call; advertise; forage,10
from a brood of 5 young,10
perch; defecate,10
take flight; call; perch,10
call; mate; scold,10
call; advertise; Social context: colony,10
forage; wipe bill,10
from a nest of 5 young,10
mechanical sound; song; fly,10
surface dive; blow,10
fly; perform visual display,10
call; beg; Social context: colony,10
perch; hop; perform courtship display; call; depart,10
song; call; subsong,10
2 Birds,10
perch; Social context: flock; roost; groom; call,10
stand; hop,10
hop; fly,10
feed young; sit on nest,10
forage; song; perch,10
arrive,10
swim; perform courtship display,10
call; mate; forage; Social context: mixed,10
perch; preen; take flight,10
Perching,10
call; depart; flush; fly,10
Perched In Tall Tree,10
dawn song; advertise,10
call; mechanical sound; song; advertise; perform visual display,10
call; emit alarm; Social context: troop; perform visual display,10
take flight; perch; song,10
forage; advertise; call; song,10
fight; swim; barks,10
forage; contact; call,10
call; mechanical sound; court; perform visual display,10
yawn,10
call; perform nest relief,10
from a colony of 15 nests,10
call; song; establish parent young contact; beg,10
call; song; beg,10
call; emit alarm; Social context: troop; establish flock contact,10
mechanical sound; song; lek,10
call; flush; fly; emit alarm,10
take flight; song; perch,10
preen; perch; rest,10
court; song,10
swallow,10
song; lek; perform visual display,10
call; song; fight,10
call; duet; dawn song; depart; arrive; fly; Social context: colony,10
hop; depart,10
forage; Social context: mixed,9
enter nest cavity; exit nest cavity; feed young; remove fecal sac,9
From Canopy,9
surface dive; forage,9
laughs,9
defecate; perch,9
call; song; counter singing; advertise; mate,9
perform courtship display; call; depart,9
mechanical sound; lek,9
threaten; lek,9
breach; swim,9
call; mate; establish parent young contact,9
sit on nest; perch,9
surface dive; swim; preen,9
under tin,9
perch; bill swipes,9
perch; song; forage,9
|||||||||||,9
depart; perform courtship display; call,9
perch; bathe,9
scratch,9
forage; wade,9
perch; perform courtship display,9
call; mechanical sound; establish flock contact,9
Social context: colony; perch; call; pant; brood,9
forage; mechanical sound,9
perch; sit on nest,9
song; advertise; establish flock contact; Social context: mixed,9
forage; hop; perch,9
mated,9
carry food in bill; feed young,9
preen; forage,9
flight song; song,9
song; advertise; dawn song,9
forage; walk; run,9
bathe; swim,9
from a group of 12 young,9
advertise; song; call,9
Male And Female,9
"3 large colonies on this Island, ca 1000 birds",9
under log,9
eat; fly,9
barks; rest,9
drink; perch,9
breach,9
song; call; counter singing,9
call; forage; mechanical sound,9
song; court; advertise; fly,9
call; song; advertise; forage; Social context: mixed; establish flock contact,9
from a brood of 9,9
call; fly; Social context: family,9
drink; preen,9
perch; eat; take flight,9
call; song; advertise; establish parent young contact,9
bill snap; call,9
call; Social context: mixed; establish flock contact,9
forage; surface dive; swim,9
call; establish parent young contact; emit alarm; Social context: family,9
song; counter singing; dawn song; advertise,9
call; song; advertise; mate; emit alarm,9
eat; swallow,9
perch; take flight; song,9
call; mechanical sound; bill drumming; forage,9
forage; walk; eat,9
call; song; duet; mate,9
preen; perform courtship display,9
call; song; forage; Social context: mixed,9
flap,9
fly; land; take flight,9
song; duet; perform visual display,9
call; fly; roost,9
vocalize; wipe bill,9
from a brood of 5,9
swim; Social context: flock,9
brood; call,9
take flight; stand,9
perch; stretch,9
call; mechanical sound; depart,9
call; song; lek,8
perch; hop; forage,8
In Response to Playback,8
subsong; song,8
Held In Hand,8
forage; peck; call,8
beg; care for young,8
perform distraction display; call,8
crossing dirt road,8
be displaced,8
song; call; fly,8
song; call; emit alarm,8
call; song; duet; scold,8
swim; forage; eat,8
Natural & In Response To Playback,8
mechanical sound; song; bill drumming,8
call; perch; fly,8
perform nest relief,8
call; advertise; whisper,8
arrive; depart,8
Army Ants,8
forage; perform visual display,8
"ca 250 nests, some downy young",8
small colony,8
perform courtship display; call; perch,8
perform visual display; hop; fly; call; perch,8
call; song; dusk song,8
depart; preen,8
drink; walk,8
perch; call; fly,8
eat; swim; feed young; sit on nest,8
perform courtship display; call; song,8
in flight,8
call; duet; mate,8
dusk song,8
perch; scratch,8
depart; call,8
Natural,8
perform visual display; call; perch; hop,8
dabble,8
court; call,8
dead on road (dying),8
call; forage; Social context: family; establish flock contact,8
take flight; walk,8
from a flock of 7,8
1 of 8 collected from a flock of twenty plus,8
call; song; forage; establish flock contact; Social context: mixed,8
perform visual display; perch; hop,8
advertise; forage; call,8
sleep; swim,8
chorus,8
incubate; sit on nest; build nest,8
call; scold; mob,8
mechanical sound; advertise; perform visual display,8
care for young; vocalize,8
fight; vocalize,8
After Playback,8
fly; forage; Social context: flock,8
Bird Held In Hand,8
at night,8
call; court; mate,8
mechanical sound; call; fly,8
song; perform courtship display,8
call; mechanical sound; court,8
swim; care for young,8
feed young; call,8
In Flock,8
forage; depart,8
perform courtship display; walk,8
fly; carry food in bill; perch,8
song; advertise; Social context: troop,8
call; depart; forage,8
song; call; scold,8
song; counter singing; dawn song,8
fly; perform courtship display,8
song; dawn song; Social context: family,8
fly; perch; call,8
perform visual display; song; perch,8
sit on nest; fly,8
chew,8
call; brood,8
call; swim,8
buried,8
song; fight,8
1 of 8 from nest of nine eggs,8
forage; bathe,8
crossing road after light rain,8
soar; fly,8
regurgitate,8
colony of 200 plus,8
sun,8
slither; swim,8
stick out tongue,8
hop; perform visual display; perch,8
Social context: colony; perch; care for young,8
song; mate; forage,8
enter nest cavity; exit nest cavity; feed young,7
1 of a brood of 7,7
song; counter singing; advertise; mate,7
song; duet; counter singing; advertise,7
sleep; stand,7
fly; perch; land,7
call; mechanical sound; beg,7
perform courtship display; preen; vocalize,7
Skulking,7
call; song; establish parent young contact,7
nuzzle,7
Hidden From View,7
call; mechanical sound; fly; establish flock contact,7
stretch,7
forage; advertise; call,7
song; advertise; court; forage,7
call; forage; emit alarm; establish flock contact,7
just left nest,7
depart; mechanical sound,7
walk; swim,7
call; establish flock contact; Social context: family,7
fly; land; perch,7
rest; swim,7
hop; take flight,7
Spontaneous & Responding To Playback,7
emit agonistic call; call,7
fly; mechanical sound; song,7
walk; take flight,7
take flight; preen; perch,7
High In Tree,7
Nest building,7
In Response To Black-Capped Playback,7
eat; rest,7
swim; surface dive; eat,7
pant; perch; Social context: colony,7
fly; perch; forage,7
swim; call; forage,7
Probably On Territory,7
call; flush; establish flock contact,7
watch; perch,7
song; mate; advertise; forage,7
mechanical sound; song; duet; mate; Social context: colony; establish flock contact,7
sit on nest; eat,7
call; take flight; perch,7
Duet,7
At Edge Of Clearing,7
drink; fly,7
perform visual display; Aggression/defense,7
call; take flight,7
song; advertise; mate; perform nest relief,7
call; sit on nest,7
Social context: herd,7
forage; swim; preen,7
territory advertisement,7
build nest; call,7
hop; perch; call,7
dead on road (dying); crossing road,7
peck; probe,7
wade,7
Response To Tape,7
song; call; perch,7
fly; swim; land,7
perform visual display; hop; perch,7
feeding on Hemlock cones,7
call; fly; contact,7
perch; perform visual display,7
perch; take flight; fly,7
walk; run,7
preen; scratch,7
song; perch; call,7
advertise; call; dawn song; song,7
run; walk,7
walk; fly,7
swim; bathe,7
call; song; mechanical sound,7
hop; stand,7
call; perch; forage,7
call; mechanical sound; advertise; forage,7
song; duet; counter singing,7
perform courtship display; song,7
call; mate; advertise; beg; Social context: family,7
Social context: colony; rest; perch,7
perform visual display; fly,7
paired,7
Playback Response,7
sit on nest; brood,7
song; call; duet,7
from a flock of 15,7
call; song; depart; advertise,7
call; roost; establish flock contact,7
slither; rest,7
perform visual display; song; preen; perch,7
call; mechanical sound; fly; emit alarm,7
call; cling,7
song; roost,7
from a brood of 5 in nest,7
from a brood of 7 in nest,7
call; song; fly; forage,7
perch; sit on nest; Social context: colony,7
hop; call,7
fly; call; mechanical sound; song,7
feed young; fly,7
call; mate; forage; establish flock contact,7
fly; hop,7
ca 40 occupied nests,7
fly; cling,7
Perched In Low Tree,7
fly; swim; call,7
pant,7
during day time,6
Response To Screech Owl Tape,6
wing flaps; call; mechanical sound,6
call; mechanical sound; court; advertise; fly,6
Social context: colony; fly,6
mechanical sound; preen,6
song; advertise; mate; forage,6
call; mate; fly; emit alarm,6
perch; take flight; forage,6
drink; forage,6
arrive; sit on nest,6
forage; swim; preen; rest,6
swim; eat,6
call; emit alarm; mob,6
call; song; forage; fly,6
call; mechanical sound; scold,6
song; take flight; perch,6
build nest; sit on nest,6
jump; walk,6
fly; perch; carry food in bill,6
fly; collect nest material,6
depart; sit on nest,6
from a brood of 3,6
squeals,6
call; wing flaps,6
walk; perform visual display,6
molt; preen; perch,6
hop; perform visual display; call; perch,6
just out of nest,6
Responding To Tape,6
At nest box,6
dabble; forage; swim,6
In Forest Understory,6
fly; land; Social context: flock,6
call; song; advertise; mate; fly,6
song; mate; establish parent young contact; care for young,6
Net Trap,6
foraging over water,6
rest; call,6
song; fly; perch,6
Social context: colony; perch; call; pant,6
coming out of marsh,6
hop; fly; call; perch,6
song; care for young,6
call; advertise; forage; Social context: mixed,6
song; dusk song; advertise; Social context: mixed,6
High In Canopy,6
call; Aggression/defense,6
on ground,6
Mimicked L. rara,6
fly; advertise; call,6
defecate; call; perch,6
call; mechanical sound; establish parent young contact,6
depart; perform courtship display; preen; call,6
forage; fly; call; mechanical sound,6
flight sound; call,6
from a family group,6
call; song; emit alarm; scold,6
call; care for young; establish parent young contact; beg,6
peck,6
song; dawn song; advertise; forage,6
perch; carry food in bill,6
call; establish parent young contact; establish flock contact,6
hop; fly; preen; call; perch; perform visual display,6
call; preen,6
sit on nest; call,6
At boundary between to families,6
taken from a flock of moulting birds,6
Head Erect,6
take flight; preen,6
perch; take flight; land,6
Came In To Tape,6
song; dawn song; advertise; Social context: mixed,6
capture prey; eat,6
sit on nest; Social context: colony; incubate; perch,6
perform courtship display; swim,6
In Distance,6
call; mechanical sound; Social context: colony,6
sit on nest; song,6
song; duet; advertise; perform visual display,6
cling; take flight,6
mechanical sound; song; dawn song; advertise,6
hop; forage; perch,6
call; song; advertise; forage; perform visual display,6
perch; tail wag; take flight,6
call; chorus,6
song; advertise; forage; establish flock contact,6
100 yds from ice edge,6
song; forage; advertise,6
forage; preen; perch,6
Male On Territory,6
dawn chorus,6
emit alarm; call; duet; song,6
forage; walk; stand,6
perch; call; depart,6
vocalize; swim,6
call; lek; perform visual display,6
from a colony of ca 70 birds with eggs,6
call; forage; Social context: troop; establish flock contact,6
Perched In Tree Top,6
preen; roost,6
1 of 6 siblings,6
perform courtship display; hop,6
mechanical sound; advertise; fly,6
perch; sit on nest; incubate,6
contact; song,6
chorus; call,6
subsong; whisper,6
walk; forage; rest,6
mechanical sound; bill drumming; advertise; forage,6
song; mate; Social context: family,6
Overhead,6
lek; hop; perform courtship display,6
song; dawn song; advertise; Social context: mixed; perform visual display,6
from a flock of 6,6
barks; grunts,6
preen; incubate; sit on nest,6
forage; walk; preen,6
song mimics L. rubricata,6
call; song; forage; whisper,6
advertise; call; counter singing,6
vocalize; beg,6
perform courtship display; preen,6
see extra sheet in file,6
call; mechanical sound; fight,6
beg; run,6
Responded To Playback,6
"All Singing In A Dawn Chorus, The Swallows In Flig",6
Unseen,6
call; forage; fly; emit alarm,6
crossing trail,6
arrive; depart; perform courtship display,6
1 of a brood of 4,6
