behavior,reps
,19430972
song,31321
call,26784
song; advertise,17895
call; song,5416
forage,4659
call; advertise,3127
perch,2989
crossing road,2856
call; fly,1911
call; song; advertise,1856
fly,1675
call; forage,1511
advertise; song,1388
call; emit alarm,1281
swim,1187
|||||||||||||||||||||||||||||||||||||,979
song; call,933
song; dawn song; advertise,892
rest,880
call; establish flock contact,785
song; perch,778
advertise; call,744
song; dawn song,718
grunts,682
preen,676
fly; call,676
advertise,653
dead on road,607
call; scold,580
call; mate,577
walk,576
call; mechanical sound,574
stand,545
call; perch,529
song; advertise; forage,518
song; duet,516
sit on nest,503
song; mechanical sound; stridulate,500
song; forage,476
fly; perch,460
mechanical sound,456
eat,447
perch; song,433
perform visual display,425
mechanical sound; song; advertise,419
swimming,407
perch; take flight,384
perform courtship display,376
preen; perch,372
song; court; advertise,369
song; duet; advertise,359
song; advertise; court,354
song; counter singing; advertise,349
mechanical sound; song,339
basking,324
call; forage; establish flock contact,298
call; beg,281
forage; walk,281
forage; call,264
forage; swim,257
Dead on road,234
call; emit alarm; Social context: colony,231
mechanical sound; bill drumming,216
song; counter singing,214
emit alarm; call,208
perch; call,200
singing,198
sunning,197
call; Social context: colony,193
call; song; advertise; forage,189
surface dive; swim,188
call; Social context: mixed,186
?,183
call; perform visual display,183
Perched,176
forage; fly,173
song; advertise; Social context: mixed,166
call; song; dawn song; advertise,161
forage; perch,158
song; advertise; perform visual display,154
bathe,154
hop; perch,154
swim; preen,152
call; song; forage,152
preen; rest,149
advertise; call; song,147
mechanical sound; stridulate; song,145
build nest,144
duet,142
incubate; sit on nest,141
call; fly; establish flock contact,139
clicks; whistles,137
song; perform visual display,134
call; song; counter singing; mate; establish parent young contact; care for young,133
slither,132
cling,131
walk; forage,131
song; fly,129
emit alarm,127
perch; preen,126
call; mate; forage,125
swim; forage,124
contact; call,123
song; dusk song; advertise,122
drink,120
call; Social context: family,120
clicks,119
call; song; advertise; mate,116
duet; song,116
fly; land,116
establish flock contact,116
perch; rest,115
vocalize,114
On Tape,113
call; mechanical sound; bill drumming,112
song; mimicry,112
call; advertise; forage,112
take flight; perch,110
call; forage; fly,109
song; advertise; mate,106
mechanical sound; bill drumming; advertise,104
call; establish parent young contact; beg,104
fly; call; perch,103
feed young,103
call; court,101
call; song; duet,99
"At capture, exposure was full sun and the lizard was moving.",99
